app,msgid,context,locations,comments,ct_app,po_translation,runtime_translation,effective_translation,proposed_translation,domain,priority,a1_status,a1_reviewer,a1_notes,a2_status,a2_reviewer,a2_notes,a3_status,a3_reviewer,a3_notes,qa_flags,cross_app_conflict,release_status,references
construction,Payment Certificate,,,,construction,,مستخلص,مستخلص,مستخلص,accounts,missing,Approved,Mona Khalil - Arabic Localization Lead,,Approved,Hesham Farouk - Egyptian Construction Accountant (EAS 48 / ETA),,Approved,Nadia Mostafa - Translation QA / Structural Review,,,,Released,glossary v1.0
construction,Retention Money,,,,construction,,محتجزات ضمان,محتجزات ضمان,محتجزات ضمان,accounts,missing,Approved,Mona Khalil - Arabic Localization Lead,,Approved,Hesham Farouk - Egyptian Construction Accountant (EAS 48 / ETA),,Approved,Nadia Mostafa - Translation QA / Structural Review,,,,Released,EAS 48 Contract Asset/Liability + MOF final guarantee terminology; glossary v2.0 accounts
construction,Retention,,,,construction,,محتجزات ضمان,محتجزات ضمان,محتجزات ضمان,accounts,missing,Approved,Mona Khalil - Arabic Localization Lead,,Approved,Hesham Farouk - Egyptian Construction Accountant (EAS 48 / ETA),,Approved,Nadia Mostafa - Translation QA / Structural Review,,,,Released,EAS 48 Contract Asset/Liability + MOF final guarantee terminology; glossary v2.0 accounts
erpnext,Child Account,,,,erpnext,,حساب فرعي,حساب فرعي,حساب فرعي,accounts,missing,Approved,Mona Khalil - Arabic Localization Lead,,Approved,Hesham Farouk - Egyptian Construction Accountant (EAS 48 / ETA),,Approved,Nadia Mostafa - Translation QA / Structural Review,,,,Released,glossary v1.0
erpnext,"<label class=""control-label"" style=""margin-bottom: 0px;"">Account Number Settings</label>",,,,erpnext,,,,,accounts,missing,,,,,,,,,,html_imbalance,,Pending,
erpnext,Invoiced Qty,,,,erpnext,,الكمية المفوترة,الكمية المفوترة,,accounts,missing,,,,,,,,,,,,Pending,
erpnext,Create Invoices,,,,erpnext,إنشاء الفواتير,,إنشاء الفواتير,,accounts,pending,,,,,,,,,,,,Approved,
frappe,A new account has been created for you at {0},,,,frappe,تم إنشاء حساب جديد لك في {0},,تم إنشاء حساب جديد لك في {0},,accounts,pending,,,,,,,,,,,,Approved,
erpnext,Payment Mode,,,,erpnext,طريقة الدفع,,طريقة الدفع,,accounts,pending,,,,,,,,,,,,Approved,
erpnext,Exception Budget Approver Role,,,,erpnext,دور الموافقة على الموازنة الاستثنائية,,دور الموافقة على الموازنة الاستثنائية,,accounts,pending,,,,,,,,,,,,Approved,
erpnext,This action will unlink this account from any external service integrating ERPNext with your bank accounts. It cannot be undone. Are you certain ?,,,,erpnext,سيؤدي هذا الإجراء إلى إلغاء ربط هذا الحساب بأي خدمة خارجية تدمج ERPNext مع حساباتك المصرفية. لا يمكن التراجع. هل أنت متأكد؟,,سيؤدي هذا الإجراء إلى إلغاء ربط هذا الحساب بأي خدمة خارجية تدمج ERPNext مع حساباتك المصرفية. لا يمكن التراجع. هل أنت متأكد؟,,accounts,pending,,,,,,,,,,,,Approved,
erpnext,Cost Center: {0} does not exist,,,,erpnext,مركز التكلفة: {0} غير موجود,,مركز التكلفة: {0} غير موجود,,accounts,pending,,,,,,,,,,,,Approved,
erpnext,Accounting Entry for Asset,,,,erpnext,المدخلات الحسابية للأصول,,المدخلات الحسابية للأصول,,accounts,pending,,,,,,,,,,,,Approved,
erpnext,Include Account Currency,,,,erpnext,,تضمين عملة الحساب,تضمين عملة الحساب,,accounts,missing,,,,,,,,,,,,Pending,
frappe,Dashboard Chart Field,,,,frappe,حقل مخطط لوحة القيادة,,حقل مخطط لوحة القيادة,,accounts,pending,,,,,,,,,,,,Approved,
erpnext,This filter will be applied to Journal Entry.,,,,erpnext,,,,,accounts,missing,,,,,,,,,,,,Pending,
erpnext,Formula or Account Filter,,,,erpnext,,صيغة أو عامل تصفية الحساب,صيغة أو عامل تصفية الحساب,,accounts,missing,,,,,,,,,,,,Pending,
erpnext,Set Advances and Allocate (FIFO),,,,erpnext,تعيين السلف والتخصيص (FIFO),,تعيين السلف والتخصيص (FIFO),,accounts,pending,,,,,,,,,,,,Approved,
erpnext,Repost Accounting Ledger Items,,,,erpnext,,عناصر إعادة نشر دفتر الأستاذ المحاسبي,عناصر إعادة نشر دفتر الأستاذ المحاسبي,,accounts,missing,,,,,,,,,,,,Pending,
erpnext,Accounts Receivable / Payable Tuning,,,,erpnext,,ضبط الحسابات المدينة والدائنة,ضبط الحسابات المدينة والدائنة,,accounts,missing,,,,,,,,,,,,Pending,
erpnext,Reconcile on Advance Payment Date,,,,erpnext,,التسوية بتاريخ الدفعة المقدمة,التسوية بتاريخ الدفعة المقدمة,,accounts,missing,,,,,,,,,,,,Pending,
erpnext,"If enabled, the consolidated invoices will have rounded total disabled",,,,erpnext,,,,,accounts,missing,,,,,,,,,,,,Pending,
erpnext,Please ensure that the {0} account {1} is a Payable account. You can change the account type to Payable or select a different account.,,,,erpnext,,,,,accounts,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Row #{}: POS Invoice {} is not submitted yet,,,,erpnext,الصف رقم {}: فاتورة نقاط البيع {} لم يتم تقديمها بعد,,الصف رقم {}: فاتورة نقاط البيع {} لم يتم تقديمها بعد,,accounts,pending,,,,,,,,,,,,Approved,
erpnext,Payment Order Type,,,,erpnext,نوع طلب الدفع,,نوع طلب الدفع,,accounts,pending,,,,,,,,,,,,Approved,
erpnext,Account {0} cannot be disabled as it is already set as {1} for {2}.,,,,erpnext,,,,,accounts,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Amount in Account Currency,,,,erpnext,,المبلغ بعملة الحساب,المبلغ بعملة الحساب,,accounts,missing,,,,,,,,,,,,Pending,
erpnext,Journal Entries,,,,erpnext,,قيود اليومية,قيود اليومية,,accounts,missing,,,,,,,,,,,,Pending,
erpnext,Action on New Invoice,,,,erpnext,,الإجراء عند فاتورة جديدة,الإجراء عند فاتورة جديدة,,accounts,missing,,,,,,,,,,,,Pending,
frappe,On Payment Authorization,,,,frappe,,,,,accounts,missing,,,,,,,,,,,,Pending,
frappe,Document type is required to create a dashboard chart,,,,frappe,نوع المستند مطلوب لإنشاء مخطط لوحة معلومات,,نوع المستند مطلوب لإنشاء مخطط لوحة معلومات,,accounts,pending,,,,,,,,,,,,Approved,
erpnext,Please disable workflow temporarily for Journal Entry {0},,,,erpnext,,,,,accounts,missing,,,,,,,,,,placeholder_mismatch,,Pending,
frappe,Error while connecting to email account {0},,,,frappe,حدث خطأ أثناء الاتصال بحساب البريد الإلكتروني {0},,حدث خطأ أثناء الاتصال بحساب البريد الإلكتروني {0},,accounts,pending,,,,,,,,,,,,Approved,
erpnext,Sales Invoice Advance,,,,erpnext,فاتورة مبيعات المقدمة,,فاتورة مبيعات المقدمة,,accounts,pending,,,,,,,,,,,,Approved,
erpnext,Receivable/Payable Account,,,,erpnext,,حساب مدين/دائن,حساب مدين/دائن,,accounts,missing,,,,,,,,,,,,Pending,
erpnext,Please set default Cash or Bank account in Mode of Payments {},,,,erpnext,الرجاء تعيين حساب نقدي أو مصرفي افتراضي في طريقة الدفع {},,الرجاء تعيين حساب نقدي أو مصرفي افتراضي في طريقة الدفع {},,accounts,pending,,,,,,,,,,,,Approved,
erpnext,Total Purchase Cost (via Purchase Invoice),,,,erpnext,مجموع تكلفة الشراء (عن طريق شراء الفاتورة),,مجموع تكلفة الشراء (عن طريق شراء الفاتورة),,accounts,pending,,,,,,,,,,,,Approved,
frappe,Add Chart to Dashboard,,,,frappe,إضافة مخطط إلى لوحة القيادة,,إضافة مخطط إلى لوحة القيادة,,accounts,pending,,,,,,,,,,,,Approved,
