source_text,classification,location,suppression_rationale,ai_r_ref,length,app,suggested_ar
!=,EXCEPTION-technical,in-ledger (no vendor PO location match),"Keep vendor code/symbol/markup content untouched — technical fragment, no translation",AI-R: confirm technical suppress at W6-0b AI-R pass (stage6-w60b AI-R record),2,frappe,
#{0},EXCEPTION-technical,in-ledger (no vendor PO location match),"Keep vendor code/symbol/markup content untouched — technical fragment, no translation",AI-R: confirm technical suppress at W6-0b AI-R pass (stage6-w60b AI-R record),4,frappe,
<,EXCEPTION-technical,in-ledger (no vendor PO location match),"Keep vendor code/symbol/markup content untouched — technical fragment, no translation",AI-R: confirm technical suppress at W6-0b AI-R pass (stage6-w60b AI-R record),1,frappe,
<=,EXCEPTION-technical,in-ledger (no vendor PO location match),"Keep vendor code/symbol/markup content untouched — technical fragment, no translation",AI-R: confirm technical suppress at W6-0b AI-R pass (stage6-w60b AI-R record),2,frappe,
<b>{0}</b> is not a valid URL,EXCEPTION-technical,in-ledger (no vendor PO location match),"Keep vendor code/symbol/markup content untouched — technical fragment, no translation",AI-R: confirm technical suppress at W6-0b AI-R pass (stage6-w60b AI-R record),29,frappe,
"<span class=\""h2\"">Hi,</span>",EXCEPTION-technical,in-ledger (no vendor PO location match),"Keep vendor code/symbol/markup content untouched — technical fragment, no translation",AI-R: confirm technical suppress at W6-0b AI-R pass (stage6-w60b AI-R record),29,frappe,
=,EXCEPTION-technical,in-ledger (no vendor PO location match),"Keep vendor code/symbol/markup content untouched — technical fragment, no translation",AI-R: confirm technical suppress at W6-0b AI-R pass (stage6-w60b AI-R record),1,frappe,
>,EXCEPTION-technical,in-ledger (no vendor PO location match),"Keep vendor code/symbol/markup content untouched — technical fragment, no translation",AI-R: confirm technical suppress at W6-0b AI-R pass (stage6-w60b AI-R record),1,frappe,
>=,EXCEPTION-technical,in-ledger (no vendor PO location match),"Keep vendor code/symbol/markup content untouched — technical fragment, no translation",AI-R: confirm technical suppress at W6-0b AI-R pass (stage6-w60b AI-R record),2,frappe,
"Enable if on click
""
""opens modal.",EXCEPTION-technical,in-ledger (no vendor PO location match),"Keep vendor code/symbol/markup content untouched — technical fragment, no translation",AI-R: confirm technical suppress at W6-0b AI-R pass (stage6-w60b AI-R record),34,frappe,
Field <code>{0}</code> not found in {1},EXCEPTION-technical,in-ledger (no vendor PO location match),"Keep vendor code/symbol/markup content untouched — technical fragment, no translation",AI-R: confirm technical suppress at W6-0b AI-R pass (stage6-w60b AI-R record),39,frappe,
Workspace <b>{0}</b> does not exist,EXCEPTION-technical,in-ledger (no vendor PO location match),"Keep vendor code/symbol/markup content untouched — technical fragment, no translation",AI-R: confirm technical suppress at W6-0b AI-R pass (stage6-w60b AI-R record),35,frappe,
{0},EXCEPTION-technical,in-ledger (no vendor PO location match),"Keep vendor code/symbol/markup content untouched — technical fragment, no translation",AI-R: confirm technical suppress at W6-0b AI-R pass (stage6-w60b AI-R record),3,frappe,
"{0} ${skip_list ? \""\"" : type}",EXCEPTION-technical,in-ledger (no vendor PO location match),"Keep vendor code/symbol/markup content untouched — technical fragment, no translation",AI-R: confirm technical suppress at W6-0b AI-R pass (stage6-w60b AI-R record),30,frappe,
{0} ${type},EXCEPTION-technical,in-ledger (no vendor PO location match),"Keep vendor code/symbol/markup content untouched — technical fragment, no translation",AI-R: confirm technical suppress at W6-0b AI-R pass (stage6-w60b AI-R record),11,frappe,
{0} ({1}),EXCEPTION-technical,in-ledger (no vendor PO location match),"Keep vendor code/symbol/markup content untouched — technical fragment, no translation",AI-R: confirm technical suppress at W6-0b AI-R pass (stage6-w60b AI-R record),9,frappe,
{0} ({1}) - {2}%,EXCEPTION-technical,in-ledger (no vendor PO location match),"Keep vendor code/symbol/markup content untouched — technical fragment, no translation",AI-R: confirm technical suppress at W6-0b AI-R pass (stage6-w60b AI-R record),16,frappe,
{0} = {1},EXCEPTION-technical,in-ledger (no vendor PO location match),"Keep vendor code/symbol/markup content untouched — technical fragment, no translation",AI-R: confirm technical suppress at W6-0b AI-R pass (stage6-w60b AI-R record),9,frappe,
{0} with the role <strong>{1}</strong>,EXCEPTION-technical,in-ledger (no vendor PO location match),"Keep vendor code/symbol/markup content untouched — technical fragment, no translation",AI-R: confirm technical suppress at W6-0b AI-R pass (stage6-w60b AI-R record),38,frappe,
{0}: {1},EXCEPTION-technical,in-ledger (no vendor PO location match),"Keep vendor code/symbol/markup content untouched — technical fragment, no translation",AI-R: confirm technical suppress at W6-0b AI-R pass (stage6-w60b AI-R record),8,frappe,
{} Possibly invalid python code. <br>{},EXCEPTION-technical,in-ledger (no vendor PO location match),"Keep vendor code/symbol/markup content untouched — technical fragment, no translation",AI-R: confirm technical suppress at W6-0b AI-R pass (stage6-w60b AI-R record),39,frappe,
