source_text	translated_text	quorum_decision	decision_ref
 Is Child Table	جدول فرعي	preserved-site-override (whitespace-variant drift, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
% Installed	نسبة المركب	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
% Occupied	نسبة الإشغال	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
% of materials delivered against this Pick List	% o نسبة المواد المسلمة مقابل قائمة الانتقاء هذه	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
'Inspection Required before Delivery' has disabled for the item {0}, no need to create the QI	تم تعطيل 'مطلوب فحص قبل التسليم' للصنف {0}، لا حاجة لإنشاء فحص الجودة	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
'Inspection Required before Purchase' has disabled for the item {0}, no need to create the QI	تم تعطيل 'مطلوب فحص قبل الشراء' للصنف {0}، لا حاجة لإنشاء فحص الجودة	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
'To Package No.' cannot be less than 'From Package No.'	لا يمكن أن يكون 'رقم الطرد إلى' أقل من 'رقم الطرد من'	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
(A) Qty After Transaction	(A) الكمية بعد المعاملة	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
(B) Expected Qty After Transaction	(B) الكمية المتوقعة بعد المعاملة	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
(C) Total Qty in Queue	(C) إجمالي الكمية في الطابور	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
(C) Total qty in queue	(C) إجمالي الكمية في الطابور	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
(D) Balance Stock Value	(D) قيمة رصيد المخزون	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
(Daily Yield * No of Units Produced) / 100	(الإنتاجية اليومية * عدد الوحدات المنتجة) / 100	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
(E) Balance Stock Value in Queue	(E) قيمة رصيد المخزون في الطابور	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
(F) Change in Stock Value	(F) التغير في قيمة المخزون	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
(G) Sum of Change in Stock Value	(G) مجموع التغير في قيمة المخزون	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
(Good Units Produced / Total Units Produced) × 100	(الوحدات الجيدة المنتجة / إجمالي الوحدات المنتجة) × 100	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
(H) Change in Stock Value (FIFO Queue)	(H) التغير في قيمة المخزون (طابور FIFO)	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
