app,msgid,context,locations,comments,ct_app,po_translation,runtime_translation,effective_translation,proposed_translation,domain,priority,a1_status,a1_reviewer,a1_notes,a2_status,a2_reviewer,a2_notes,a3_status,a3_reviewer,a3_notes,qa_flags,cross_app_conflict,release_status,references
erpnext,Finished Good {0} does not have a default BOM.,,,,erpnext,,,,,manufacturing,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,BOM Explorer,,,,erpnext,,مستكشف قائمة المواد,مستكشف قائمة المواد,,manufacturing,missing,,,,,,,,,,,,Pending,
erpnext,The BOM which will be replaced,,,,erpnext,وBOM التي سيتم استبدالها,,وBOM التي سيتم استبدالها,,manufacturing,pending,,,,,,,,,,,,Approved,
erpnext,Fetch exploded BOM (including sub-assemblies),,,,erpnext,جلب BOM انفجرت (بما في ذلك المجالس الفرعية),,جلب BOM انفجرت (بما في ذلك المجالس الفرعية),,manufacturing,pending,,,,,,,,,,,,Approved,
erpnext,Work Order,,,,erpnext,أمر العمل,أمر عمل,أمر عمل,,manufacturing,pending,,,,,,,,,,,,Approved,
erpnext,Production Plan,,,,erpnext,خطة الإنتاج,,خطة الإنتاج,,manufacturing,pending,,,,,,,,,,,,Approved,
erpnext,BOM Rate,,,,erpnext,سعر او معدل قائمة مكونات المواد,,سعر او معدل قائمة مكونات المواد,,manufacturing,pending,,,,,,,,,,,,Approved,
erpnext,"BOMs creation has been enqueued, kindly check the status after some time",,,,erpnext,,,,,manufacturing,missing,,,,,,,,,,,,Pending,
erpnext,Select BOM,,,,erpnext,حدد مكتب الإدارة,,حدد مكتب الإدارة,,manufacturing,pending,,,,,,,,,,,,Approved,
erpnext,BOM Level,,,,erpnext,,مستوى قائمة المواد,مستوى قائمة المواد,,manufacturing,missing,,,,,,,,,,,,Pending,
erpnext,Current BOM and New BOM can not be same,,,,erpnext,فاتورة المواد الحالية وفاتورة المواد الجديدة لايمكن أن يكونوا نفس الفاتورة\n<br>\nCurrent BOM and New BOM can not be same,,فاتورة المواد الحالية وفاتورة المواد الجديدة لايمكن أن يكونوا نفس الفاتورة\n<br>\nCurrent BOM and New BOM can not be same,,manufacturing,pending,,,,,,,,,,html_imbalance,,Approved,
erpnext,Production Plan Qty,,,,erpnext,,كمية خطة الإنتاج,كمية خطة الإنتاج,,manufacturing,missing,,,,,,,,,,,,Pending,
erpnext,BOM Tree,,,,erpnext,,شجرة قائمة المواد,شجرة قائمة المواد,,manufacturing,missing,,,,,,,,,,,,Pending,
erpnext,Processed BOMs,,,,erpnext,,قوائم مواد معالجة,قوائم مواد معالجة,,manufacturing,missing,,,,,,,,,,,,Pending,
