app,msgid,context,locations,comments,ct_app,po_translation,runtime_translation,effective_translation,proposed_translation,domain,priority,a1_status,a1_reviewer,a1_notes,a2_status,a2_reviewer,a2_notes,a3_status,a3_reviewer,a3_notes,qa_flags,cross_app_conflict,release_status,references
erpnext,Item {} does not exist.,,,,erpnext,,,,,inventory,missing,,,,,,,,,,,,Pending,
erpnext,Stock Closing,,,,erpnext,,إغلاق المخزون,إغلاق المخزون,,inventory,missing,,,,,,,,,,,,Pending,
erpnext,Materials are already received against the {0} {1},,,,erpnext,,,,,inventory,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,The value of {0} differs between Items {1} and {2},,,,erpnext,تختلف قيمة {0} بين العناصر {1} و {2},,تختلف قيمة {0} بين العناصر {1} و {2},,inventory,pending,,,,,,,,,,,,Approved,
erpnext,Sets 'Target Warehouse' in each row of the items table.,,,,erpnext,يعيّن &quot;المستودع المستهدف&quot; في كل صف من جدول العناصر.,,يعيّن &quot;المستودع المستهدف&quot; في كل صف من جدول العناصر.,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,Target Item Code,,,,erpnext,,كود الصنف الهدف,كود الصنف الهدف,,inventory,missing,,,,,,,,,,,,Pending,
erpnext,Item valuation reposting in progress. Report might show incorrect item valuation.,,,,erpnext,,,,,inventory,missing,,,,,,,,,,,,Pending,
erpnext,Warehouse Wise Stock Balance,,,,erpnext,,رصيد المخزون حسب المستودع,رصيد المخزون حسب المستودع,,inventory,missing,,,,,,,,,,,,Pending,
erpnext,"If you {0} {1} worth item {2}, the scheme {3} will be applied on the item.",,,,erpnext,إذا كنت {0} {1} تستحق العنصر {2} ، فسيتم تطبيق النظام {3} على العنصر.,,إذا كنت {0} {1} تستحق العنصر {2} ، فسيتم تطبيق النظام {3} على العنصر.,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,Allow Item to be Added Multiple Times in a Transaction,,,,erpnext,,,,,inventory,missing,,,,,,,,,,,,Pending,
