source_text,translated_text,quorum_decision,disposition_rationale,decision_ref,proposal_sha256
 Is Subcontracted,من الباطن,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
 Skip Material Transfer,تخطي نقل المواد,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
# In Stock,العدد في المخزون,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
# Req'd Items,عدد الأصناف المطلوبة,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
% Finished Item Quantity,نسبة كمية الصنف النهائي,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
% Process Loss,نسبة خسارة العملية,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
0-30 Days,0-30 يومًا,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
30-60 Days,30-60 يومًا,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
60-90 Days,60-90 يومًا,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
A Holiday List can be added to exclude counting these days for the Workstation.,يمكن إضافة قائمة عطلات لاستبعاد حساب هذه الأيام لمحطة العمل.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
Active Status,حالة نشطة,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
Actual Demand,الطلب الفعلي,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
Actual End Date cannot be before Actual Start Date,لا يمكن أن يكون تاريخ الانتهاء الفعلي قبل تاريخ البدء الفعلي,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
Actual Qty {0} / Waiting Qty {1},الكمية الفعلية {0} / كمية الانتظار {1},quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
Actual Qty: Quantity available in the warehouse.,الكمية الفعلية: الكمية المتوفرة في المستودع.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
Actual Time,الوقت الفعلي,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
Ad-hoc Qty,كمية خاصة,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
Add Corrective Operation Cost in Finished Good Valuation,إضافة تكلفة العملية التصحيحية في تقييم المنتج التام الصنع,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
Add Raw Materials,إضافة المواد الخام,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
Add Safety Stock,إضافة مخزون أمان,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
Add Stock,إضافة مخزون,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
Additional Material Transfer,نقل مواد إضافية,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
Additional Transferred Qty,الكمية الإضافية المنقولة,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
Adjust Qty,تعديل الكمية,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
All items are already requested,تم طلب جميع الأصناف بالفعل,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
Allow Continuous Material Consumption,السماح بالاستهلاك المستمر للمواد,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
Allow Editing of Items and Quantities in Work Order,السماح بتعديل الأصناف والكميات في أمر العمل,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
Allow Excess Material Transfer,السماح بنقل مواد زائدة,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
Allow material consumptions without immediately manufacturing finished goods against a Work Order,السماح باستهلاك المواد دون تصنيع المنتجات تامة الصنع فورًا مقابل أمر العمل,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
Allow transferring raw materials even after the Required Quantity is fulfilled,السماح بنقل المواد الخام حتى بعد استيفاء الكمية المطلوبة,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
"As there are sufficient Sub Assembly Items, Work Order is not required for Warehouse {0}.",نظرًا لوجود عدد كافٍ من عناصر التجميع الفرعي، فإن أمر العمل غير مطلوب للمستودع {0}.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
Assembly Items,أصناف التجميع,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
Assign Job to Employee,إسناد العمل إلى موظف,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
At row {0}: Parent Row No cannot be set for item {1},في الصف {0}: لا يمكن تحديد رقم الصف الأصل للصنف {1},quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
At row {0}: set Parent Row No for item {1},في الصف {0}: حدد رقم الصف الأصل للصنف {1},quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
BIN Qty,كمية الحاوية,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
BOM 1,قائمة المواد 1,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
BOM 2,قائمة المواد 2,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
BOM Created,تم إنشاء قائمة المواد,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
BOM Creator,منشئ قائمة المواد,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
BOM Creator Item,عنصر منشئ قائمة المواد,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
BOM Explorer,مستكشف قائمة المواد,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
BOM Level,مستوى قائمة المواد,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
BOM No (For Semi-Finished Goods),رقم قائمة المواد (للبضائع شبه المصنعة),quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
BOM Tree,شجرة قائمة المواد,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
BOM UOM,وحدة قياس قائمة المواد,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
BOM Update Batch,دفعة تحديث قائمة المواد,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
BOM Update Initiated,بدأ تحديث قائمة المواد,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
BOM Update Log,سجل تحديث قائمة المواد,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
BOM Update Tool Log with job status maintained,سجل أداة تحديث قائمة المواد مع الحفاظ على حالة المهمة,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
BOM Updation already in progress. Please wait until {0} is complete.,تحديث قائمة المواد قيد التنفيذ بالفعل. يرجى الانتظار حتى يكتمل {0}.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
BOM Updation is queued and may take a few minutes. Check {0} for progress.,تم وضع تحديث قائمة المواد في قائمة الانتظار وقد يستغرق بضع دقائق. تحقق من {0} لمتابعة التقدم.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
BOM and Production,قائمة المواد والإنتاج,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
BOM recursion: {1} cannot be parent or child of {0},تداخل دائري في قائمة المواد: لا يمكن أن يكون {1} أصلاً أو فرعاً لـ {0},quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
BOM {0} not found for the item {1},قائمة المواد {0} غير موجودة للصنف {1},quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
BOMs Updated,تم تحديث قوائم المواد,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
BOMs created successfully,تم إنشاء قوائم المواد بنجاح,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
BOMs creation failed,فشل إنشاء قوائم المواد,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
"BOMs creation has been enqueued, kindly check the status after some time",تم وضع إنشاء قوائم المواد في قائمة الانتظار، يرجى التحقق من الحالة بعد فترة,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
Backflush Materials From WIP Warehouse,سحب المواد تلقائيا من مستودع تحت التشغيل,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
Base Amount,المبلغ الأساسي,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
Base Cost Per Unit,التكلفة الأساسية لكل وحدة,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
Base Rate,السعر الأساسي,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
Batch No.,رقم الدفعة,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
Batch not created for item {} since it does not have a batch series.,لم يتم إنشاء تشغيلة للصنف {} لأنه لا يحتوي على سلسلة تشغيلات.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
Bucket Size,حجم الفئة,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
Build All?,إنشاء الكل؟,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
Buildable Qty,الكمية القابلة للتصنيع,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
Can not close Work Order. Since {0} Job Cards are in Work In Progress state.,لا يمكن إغلاق أمر العمل. نظرًا لأن بطاقات العمل {0} في حالة قيد التنفيذ.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
Cannot disassemble more than produced quantity.,لا يمكن تفكيك كمية أكبر من الكمية المنتجة.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
Cannot produce more item for {0},لا يمكن إنتاج المزيد من الصنف لـ {0},quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
Cannot produce more than {0} items for {1},لا يمكن إنتاج أكثر من {0} عناصر لـ {1},quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
Changes in {0},التغييرات في {0},"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
Click on Get Sales Orders to fetch sales orders based on the above filters.,انقر فوق جلب أوامر البيع لجلب أوامر البيع بناءً على عوامل التصفية أعلاه.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
Closed Work Order can not be stopped or Re-opened,لا يمكن إيقاف أمر عمل مغلق أو إعادة فتحه,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
Complete Job,إكمال العمل,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
Completed Time,الوقت المكتمل,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
Component Expense Account,حساب مصروف المكون,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
Component Name,اسم المكون,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
Consider Minimum Order Qty,احتساب الحد الأدنى لكمية الطلب,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
Consider Process Loss,احتساب خسارة العملية,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
Consider Projected Qty in Calculation,احتساب الكمية المتوقعة في الحساب,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
Consider Projected Qty in Calculation (RM),احتساب الكمية المتوقعة في الحساب (مواد خام),"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
Consolidate Sales Order Items,تجميع أصناف أمر البيع,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,d64adaa6f9d6d201623dfbd4156dd414c000abd389d3864643994aba3bbfdfb9
