source_text,suggested_ar,locations,area,has_pre_filled
 Is Subcontracted,من الباطن,erpnext/manufacturing/doctype/job_card/job_card.json:None,manufacturing,1
 Skip Material Transfer,تخطي نقل المواد,erpnext/manufacturing/doctype/bom_operation/bom_operation.json:None,manufacturing,1
# In Stock,,erpnext/manufacturing/report/work_order_stock_report/work_order_stock_report.py:148,manufacturing,0
# Req'd Items,,erpnext/manufacturing/report/work_order_stock_report/work_order_stock_report.py:141,manufacturing,0
% Finished Item Quantity,نسبة كمية الصنف النهائي,erpnext/manufacturing/doctype/bom/bom.js:962,manufacturing,1
% Process Loss,نسبة خسارة العملية,erpnext/manufacturing/doctype/bom/bom.json:None; erpnext/stock/doctype/stock_entry/stock_entry.json:None; erpnext/subcontracting/doctype/subcontracting_inward_order/subcontracting_inward_order.json:None,manufacturing,1
0-30 Days,,erpnext/manufacturing/report/work_order_summary/work_order_summary.py:110,manufacturing,0
30-60 Days,,erpnext/manufacturing/report/work_order_summary/work_order_summary.py:110,manufacturing,0
60-90 Days,,erpnext/manufacturing/report/work_order_summary/work_order_summary.py:110,manufacturing,0
A Holiday List can be added to exclude counting these days for the Workstation.,,erpnext/manufacturing/doctype/workstation/workstation.js:73,manufacturing,0
Active Status,حالة نشطة,erpnext/manufacturing/doctype/workstation/workstation.json:None,manufacturing,1
Actual Demand,الطلب الفعلي,erpnext/manufacturing/doctype/master_production_schedule/master_production_schedule.json:None,manufacturing,1
Actual End Date cannot be before Actual Start Date,,erpnext/manufacturing/doctype/work_order/work_order.py:222,manufacturing,0
Actual Qty {0} / Waiting Qty {1},,erpnext/manufacturing/doctype/plant_floor/stock_summary_template.html:37; erpnext/stock/dashboard/item_dashboard_list.html:28,manufacturing,0
Actual Qty: Quantity available in the warehouse.,,erpnext/manufacturing/doctype/production_plan/production_plan.js:179,manufacturing,0
Actual Time,الوقت الفعلي,erpnext/manufacturing/doctype/job_card/job_card.json:None,manufacturing,1
Ad-hoc Qty,,erpnext/manufacturing/report/material_requirements_planning_report/material_requirements_planning_report.py:1005,manufacturing,0
Add Corrective Operation Cost in Finished Good Valuation,,erpnext/manufacturing/doctype/manufacturing_settings/manufacturing_settings.json:None,manufacturing,0
Add Raw Materials,إضافة المواد الخام,erpnext/manufacturing/doctype/bom/bom.js:990; erpnext/manufacturing/doctype/bom_operation/bom_operation.json:None,manufacturing,1
Add Safety Stock,إضافة مخزون أمان,erpnext/manufacturing/report/material_requirements_planning_report/material_requirements_planning_report.js:82,manufacturing,1
Add Stock,إضافة مخزون,erpnext/manufacturing/doctype/plant_floor/plant_floor.js:200,manufacturing,1
Additional Material Transfer,نقل مواد إضافية,erpnext/manufacturing/doctype/work_order/work_order.js:787,manufacturing,1
Additional Transferred Qty,الكمية الإضافية المنقولة,erpnext/manufacturing/doctype/work_order/work_order.json:None,manufacturing,1
Adjust Qty,تعديل الكمية,erpnext/manufacturing/doctype/sales_forecast_item/sales_forecast_item.json:None,manufacturing,1
All items are already requested,,erpnext/manufacturing/doctype/production_plan/production_plan.py:946,manufacturing,0
Allow Continuous Material Consumption,السماح بالاستهلاك المستمر للمواد,erpnext/manufacturing/doctype/manufacturing_settings/manufacturing_settings.json:None,manufacturing,1
Allow Editing of Items and Quantities in Work Order,,erpnext/manufacturing/doctype/manufacturing_settings/manufacturing_settings.json:None,manufacturing,0
Allow Excess Material Transfer,السماح بنقل مواد زائدة,erpnext/manufacturing/doctype/manufacturing_settings/manufacturing_settings.json:None,manufacturing,1
Allow material consumptions without immediately manufacturing finished goods against a Work Order,,erpnext/manufacturing/doctype/manufacturing_settings/manufacturing_settings.json:None,manufacturing,0
Allow transferring raw materials even after the Required Quantity is fulfilled,,erpnext/manufacturing/doctype/manufacturing_settings/manufacturing_settings.json:None,manufacturing,0
"As there are sufficient Sub Assembly Items, Work Order is not required for Warehouse {0}.",,erpnext/manufacturing/doctype/production_plan/production_plan.py:1066,manufacturing,0
Assembly Items,أصناف التجميع,erpnext/manufacturing/doctype/production_plan/production_plan.json:None,manufacturing,1
Assign Job to Employee,إسناد العمل إلى موظف,erpnext/manufacturing/doctype/job_card/job_card.js:232,manufacturing,1
At row {0}: Parent Row No cannot be set for item {1},,erpnext/manufacturing/doctype/bom_creator/bom_creator.py:95,manufacturing,0
At row {0}: set Parent Row No for item {1},,erpnext/manufacturing/doctype/bom_creator/bom_creator.py:89,manufacturing,0
BIN Qty,كمية الحاوية,erpnext/manufacturing/doctype/material_request_plan_item/material_request_plan_item.json:None,manufacturing,1
BOM 1,قائمة المواد 1,erpnext/manufacturing/page/bom_comparison_tool/bom_comparison_tool.js:21,manufacturing,1
BOM 2,قائمة المواد 2,erpnext/manufacturing/page/bom_comparison_tool/bom_comparison_tool.js:38,manufacturing,1
