source_text,translated_text,quorum_decision,disposition_rationale,decision_ref,scope_sha256,proposal_sha256
Activities,الأنشطة,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,content:docs/translation/stage6_w606_crm_support_maintenance_content_evidence_2026-09-24.txt,a77b43a908859c0aea3e2c58525ec3765772c09af8617f1f17fb8c8bf12833f9,d8a2a8df2c040434b82d4d813f96e510e454b0f11114a31cf709db62bf60f266
Add Items in the Purpose Table,إضافة أصناف إلى جدول الأغراض,quorum-confirmed-payload,Corrected AI draft; requires renewed independent A1/A2/A3 quorum before release.,content:docs/translation/stage6_w606_crm_support_maintenance_content_evidence_2026-09-24.txt,a77b43a908859c0aea3e2c58525ec3765772c09af8617f1f17fb8c8bf12833f9,d8a2a8df2c040434b82d4d813f96e510e454b0f11114a31cf709db62bf60f266
Add Lead to Prospect,إضافة العميل المحتمل إلى فرصة البيع,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,content:docs/translation/stage6_w606_crm_support_maintenance_content_evidence_2026-09-24.txt,a77b43a908859c0aea3e2c58525ec3765772c09af8617f1f17fb8c8bf12833f9,d8a2a8df2c040434b82d4d813f96e510e454b0f11114a31cf709db62bf60f266
Add to Prospect,إضافة إلى فرصة البيع,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,content:docs/translation/stage6_w606_crm_support_maintenance_content_evidence_2026-09-24.txt,a77b43a908859c0aea3e2c58525ec3765772c09af8617f1f17fb8c8bf12833f9,d8a2a8df2c040434b82d4d813f96e510e454b0f11114a31cf709db62bf60f266
Added On,أضيف في,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,content:docs/translation/stage6_w606_crm_support_maintenance_content_evidence_2026-09-24.txt,a77b43a908859c0aea3e2c58525ec3765772c09af8617f1f17fb8c8bf12833f9,d8a2a8df2c040434b82d4d813f96e510e454b0f11114a31cf709db62bf60f266
Adding Lead to Prospect...,جار إضافة العميل المحتمل إلى فرصة البيع...,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,content:docs/translation/stage6_w606_crm_support_maintenance_content_evidence_2026-09-24.txt,a77b43a908859c0aea3e2c58525ec3765772c09af8617f1f17fb8c8bf12833f9,d8a2a8df2c040434b82d4d813f96e510e454b0f11114a31cf709db62bf60f266
All Activities,كل الأنشطة,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,content:docs/translation/stage6_w606_crm_support_maintenance_content_evidence_2026-09-24.txt,a77b43a908859c0aea3e2c58525ec3765772c09af8617f1f17fb8c8bf12833f9,d8a2a8df2c040434b82d4d813f96e510e454b0f11114a31cf709db62bf60f266
All Activities HTML,HTML لكل الأنشطة,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,content:docs/translation/stage6_w606_crm_support_maintenance_content_evidence_2026-09-24.txt,a77b43a908859c0aea3e2c58525ec3765772c09af8617f1f17fb8c8bf12833f9,d8a2a8df2c040434b82d4d813f96e510e454b0f11114a31cf709db62bf60f266
Allow Lead Duplication based on Emails,السماح بتكرار العملاء المحتملين استنادًا إلى البريد الإلكتروني,quorum-confirmed-payload,Corrected AI draft; requires renewed independent A1/A2/A3 quorum before release.,content:docs/translation/stage6_w606_crm_support_maintenance_content_evidence_2026-09-24.txt,a77b43a908859c0aea3e2c58525ec3765772c09af8617f1f17fb8c8bf12833f9,d8a2a8df2c040434b82d4d813f96e510e454b0f11114a31cf709db62bf60f266
Annual Revenue,الإيراد السنوي,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,content:docs/translation/stage6_w606_crm_support_maintenance_content_evidence_2026-09-24.txt,a77b43a908859c0aea3e2c58525ec3765772c09af8617f1f17fb8c8bf12833f9,d8a2a8df2c040434b82d4d813f96e510e454b0f11114a31cf709db62bf60f266
