source_text,proposed_ar,proposed_disposition,disposition_rationale,decision_ref,locations
 Is Subcontracted,من الباطن,preserved-site-override,"PRESERVED-edge-whitespace exception: retain this exact source key and existing live v16.localhost Site Override verbatim; do not trim, normalize, import, or replace.",stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/job_card/job_card.json:None
 Skip Material Transfer,تخطي نقل المواد,preserved-site-override,"PRESERVED-edge-whitespace exception: retain this exact source key and existing live v16.localhost Site Override verbatim; do not trim, normalize, import, or replace.",stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/bom_operation/bom_operation.json:None
Operations Routing,مسار العمليات,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/bom_creator/bom_creator.json:None
Order Date,تاريخ الأمر,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/blanket_order/blanket_order.json:None
Order No,رقم الأمر,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/blanket_order/blanket_order.json:None
Order Summary,ملخص الأمر,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/notification/material_request_receipt_notification/material_request_receipt_notification.html:4
"Ordered Qty: Quantity ordered for purchase, but not received.",الكمية المطلوبة: كمية تم طلب شرائها ولم تستلم بعد.,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/production_plan/production_plan.js:179
Other Settings,إعدادات أخرى,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/manufacturing_settings/manufacturing_settings.json:None
Parent Row No,رقم الصف الأب,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/bom_creator_item/bom_creator_item.json:None
Parent Row No not found for {0},لم يتم العثور على رقم الصف الأب لـ {0},PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/bom_creator/bom_creator.py:511
