source_text,translated_text,quorum_decision,disposition_rationale,decision_ref,proposal_sha256
Incompatible Setting Detected,تم اكتشاف إعداد غير متوافق,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Incorrect Balance Qty After Transaction,كمية الرصيد غير الصحيحة بعد المعاملة,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Incorrect Check in (group) Warehouse for Reorder,مستودع المجموعة المحدد لإعادة الطلب غير صحيح,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Incorrect Component Quantity,كمية المكوّن غير صحيحة,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Incorrect Invoice,فاتورة غير صحيحة,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Incorrect Reference Document (Purchase Receipt Item),مستند مرجعي غير صحيح (صنف سند استلام الشراء),quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Incorrect Serial No Valuation,تقييم الرقم التسلسلي غير الصحيح,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Incorrect Serial and Batch Bundle,مجموعة التسلسل والدفعة غير الصحيحة,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Incorrect Stock Value Report,تقرير قيمة المخزون غير الصحيحة,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Incorrect Type of Transaction,نوع المعاملة غير صحيح,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Individual Stock Ledger Entry cannot be cancelled.,لا يمكن إلغاء قيد فردي في دفتر الأستاذ المخزني.,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Insufficient Capacity,سعة غير كافية,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Insufficient Stock for Batch,مخزون غير كاف للدفعة,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Invalid Document,مستند غير صالح,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Invalid Formula,صيغة غير صالحة,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Invalid Item Defaults,الإعدادات الافتراضية للصنف غير صالحة,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Invalid Priority,أولوية غير صالحة,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Invalid Query,استعلام غير صالح,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Invalid Serial and Batch Bundle,حزمة الأرقام التسلسلية والدفعات غير صالحة,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Invalid Source and Target Warehouse,مستودعا المصدر والوجهة غير صالحين,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Invalid Warehouse,مستودع غير صالح,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Invalid search query,استعلام البحث غير صالح,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Inventory Account Currency,عملة حساب المخزون,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Inventory Dimension Negative Stock,مخزون سالب لبُعد المخزون,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Inventory Dimension key,مفتاح بُعد المخزون,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
