source_text,translated_text,quorum_decision,decision_ref
0 - 30 Days,0 - 30 يومًا,quorum-confirmed (release payload row),stage6-W6-1 owner-approved 2026-09-21
30 - 60 Days,30 - 60 يومًا,quorum-confirmed (release payload row),stage6-W6-1 owner-approved 2026-09-21
60 - 90 Days,60 - 90 يومًا,quorum-confirmed (release payload row),stage6-W6-1 owner-approved 2026-09-21
90 - 120 Days,90 - 120 يومًا,quorum-confirmed (release payload row),stage6-W6-1 owner-approved 2026-09-21
A Reverse Journal Entry {0} already exists for this Journal Entry.,قيد يومية عكسي {0} موجود بالفعل لهذا القيد.,quorum-confirmed (release payload row),stage6-W6-1 owner-approved 2026-09-21
Above 120 Days,أكثر من 120 يوما,quorum-confirmed (release payload row),stage6-W6-1 owner-approved 2026-09-21
Account Currency (From),عملة الحساب (من),quorum-confirmed (release payload row),stage6-W6-1 owner-approved 2026-09-21
Account Currency (To),عملة الحساب (إلى),quorum-confirmed (release payload row),stage6-W6-1 owner-approved 2026-09-21
Account {0} should be of type Expense,الحساب {0} يجب أن يكون من نوع المصروفات,quorum-confirmed (release payload row),stage6-W6-1 owner-approved 2026-09-21
Add Columns in Transaction Currency,إضافة أعمدة بعملة المعاملة,quorum-confirmed (release payload row),stage6-W6-1 owner-approved 2026-09-21
Advance Taxes and Charges,الضرائب والرسوم المسبقة,quorum-confirmed (release payload row),stage6-W6-1 owner-approved 2026-09-21
Advance Voucher No,رقم سند الدفعة المقدمة,quorum-confirmed (release payload row),stage6-W6-1 owner-approved 2026-09-21
Advance Voucher Type,نوع سند الدفعة المقدمة,quorum-confirmed (release payload row),stage6-W6-1 owner-approved 2026-09-21
Advance paid against {0} {1} cannot be greater than Grand Total {2},الدفعة المقدمة المدفوعة مقابل {0} {1} لا يمكن أن تتجاوز الإجمالي الكلي {2},quorum-confirmed (release payload row),stage6-W6-1 owner-approved 2026-09-21
Against Voucher No,مقابل رقم السند,quorum-confirmed (release payload row),stage6-W6-1 owner-approved 2026-09-21
Ageing Report based on {0} up to {1},تقرير التقادم استنادًا إلى {0} حتى {1},quorum-confirmed (release payload row),stage6-W6-1 owner-approved 2026-09-21
All Parties,كل الجهات,quorum-confirmed (release payload row),stage6-W6-1 owner-approved 2026-09-21
Allocate Payment Request,تخصيص طلب الدفع,quorum-confirmed (release payload row),stage6-W6-1 owner-approved 2026-09-21
Amount in {0},المبلغ بعملة {0},quorum-confirmed (release payload row),stage6-W6-1 owner-approved 2026-09-21
Apply Tax Withholding Amount,تطبيق مبلغ ضريبة الخصم,quorum-confirmed (release payload row),stage6-W6-1 owner-approved 2026-09-21
Asset Disposal,استبعاد الأصل,quorum-confirmed (release payload row),stage6-W6-1 owner-approved 2026-09-21
Bank Account No,رقم الحساب البنكي,quorum-confirmed (release payload row),stage6-W6-1 owner-approved 2026-09-21
Book Advance Payments as Liability option is chosen. Paid From account changed from {0} to {1}.,تم اختيار تسجيل الدفعات المقدمة كالتزام. تم تغيير حساب الدفع من {0} إلى {1}.,quorum-confirmed (release payload row),stage6-W6-1 owner-approved 2026-09-21
Book Advance Payments in Separate Party Account,تسجيل الدفعات المقدمة في حساب جهة منفصل,quorum-confirmed (release payload row),stage6-W6-1 owner-approved 2026-09-21
Books have been closed till the period ending on {0},تم إغلاق الدفاتر حتى الفترة المنتهية في {0},quorum-confirmed (release payload row),stage6-W6-1 owner-approved 2026-09-21
Calculate Ageing With,حساب التقادم حسب,quorum-confirmed (release payload row),stage6-W6-1 owner-approved 2026-09-21
