source_text	translated_text	quorum_decision	decision_ref
Ledger	دفتر الأستاذ	quorum-confirmed (release payload row)	stage6-W6-0b batch-1 owner-approved 2026-09-22
On Payment Failed	عند فشل الدفع	quorum-confirmed (release payload row)	stage6-W6-0b batch-1 owner-approved 2026-09-22
On Payment Paid	عند الدفع	quorum-confirmed (release payload row)	stage6-W6-0b batch-1 owner-approved 2026-09-22
Posting Timestamp	طابع زمني للترحيل	quorum-confirmed (release payload row)	stage6-W6-0b batch-1 owner-approved 2026-09-22
Select Currency	تحديد العملة	quorum-confirmed (release payload row)	stage6-W6-0b batch-1 owner-approved 2026-09-22
Default display currency	عملة العرض الافتراضية	quorum-confirmed (release payload row)	stage6-W6-0b batch-1 owner-approved 2026-09-22
No currency fields in {0}	لا توجد حقول عملة في {0}	quorum-confirmed (release payload row)	stage6-W6-0b batch-1 owner-approved 2026-09-22
On Payment Authorization	عند تفويض الدفع	quorum-confirmed (release payload row)	stage6-W6-0b batch-1 owner-approved 2026-09-22
On Payment Charge Processed	عند معالجة الرسوم	quorum-confirmed (release payload row)	stage6-W6-0b batch-1 owner-approved 2026-09-22
On Payment Mandate Acquisition Processed	عند معالجة اكتساب التفويض	quorum-confirmed (release payload row)	stage6-W6-0b batch-1 owner-approved 2026-09-22
On Payment Mandate Charge Processed	عند معالجة رسوم التفويض	quorum-confirmed (release payload row)	stage6-W6-0b batch-1 owner-approved 2026-09-22
Show Currency Symbol on Right Side	إظهار رمز العملة على اليمين	quorum-confirmed (release payload row)	stage6-W6-0b batch-1 owner-approved 2026-09-22
Use Number Format from Currency	استخدام تنسيق الأرقام من العملة	quorum-confirmed (release payload row)	stage6-W6-0b batch-1 owner-approved 2026-09-22
No Data	لا توجد بيانات	quorum-confirmed (release payload row)	stage6-W6-0b batch-1 owner-approved 2026-09-22
Reset sorting	إعادة تعيين الترتيب	quorum-confirmed (release payload row)	stage6-W6-0b batch-1 owner-approved 2026-09-22
{count} cells copied	تم نسخ {count} خلية	quorum-confirmed (release payload row)	stage6-W6-0b batch-1 owner-approved 2026-09-22
{count} rows selected	تم تحديد {count} صف	quorum-confirmed (release payload row)	stage6-W6-0b batch-1 owner-approved 2026-09-22
CSV	EXCEPTION-technical	EXCEPTION-technical (keep vendor rendering; no translation)	stage6-W6-0b batch-1 owner-approved 2026-09-22
Error	خطأ	quorum-confirmed (release payload row)	stage6-W6-0b batch-1 owner-approved 2026-09-22
PDF	EXCEPTION-technical	EXCEPTION-technical (keep vendor rendering; no translation)	stage6-W6-0b batch-1 owner-approved 2026-09-22
Sr	م	quorum-confirmed (release payload row)	stage6-W6-0b batch-1 owner-approved 2026-09-22
Success	نجاح	quorum-confirmed (release payload row)	stage6-W6-0b batch-1 owner-approved 2026-09-22
Action	إجراء	quorum-confirmed (release payload row)	stage6-W6-0b batch-1 owner-approved 2026-09-22
Clear All	مسح الكل	quorum-confirmed (release payload row)	stage6-W6-0b batch-1 owner-approved 2026-09-22
Document Type	نوع المستند	quorum-confirmed (release payload row)	stage6-W6-0b batch-1 owner-approved 2026-09-22
Show Preview	إظهار المعاينة	quorum-confirmed (release payload row)	stage6-W6-0b batch-1 owner-approved 2026-09-22
Value	القيمة	quorum-confirmed (release payload row)	stage6-W6-0b batch-1 owner-approved 2026-09-22
System Settings	إعدادات النظام	quorum-confirmed (release payload row)	stage6-W6-0b batch-1 owner-approved 2026-09-22
Column	عمود	quorum-confirmed (release payload row)	stage6-W6-0b batch-1 owner-approved 2026-09-22
No values to show	لا توجد قيم لعرضها	quorum-confirmed (release payload row)	stage6-W6-0b batch-1 owner-approved 2026-09-22
Set by user	عيّنه المستخدم	quorum-confirmed (release payload row)	stage6-W6-0b batch-1 owner-approved 2026-09-22
Complete	مكتمل	quorum-confirmed (release payload row)	stage6-W6-0b batch-1 owner-approved 2026-09-22
Move	نقل	quorum-confirmed (release payload row)	stage6-W6-0b batch-1 owner-approved 2026-09-22
{count} cell copied	تم نسخ {count} خلية	quorum-confirmed (release payload row)	stage6-W6-0b batch-1 owner-approved 2026-09-22
{count} row selected	تم تحديد {count} صف	quorum-confirmed (release payload row)	stage6-W6-0b batch-1 owner-approved 2026-09-22
Result	النتيجة	quorum-confirmed (release payload row)	stage6-W6-0b batch-1 owner-approved 2026-09-22
Undo	تراجع	quorum-confirmed (release payload row)	stage6-W6-0b batch-1 owner-approved 2026-09-22
ascending	تصاعدي	quorum-confirmed (release payload row)	stage6-W6-0b batch-1 owner-approved 2026-09-22
descending	تنازلي	quorum-confirmed (release payload row)	stage6-W6-0b batch-1 owner-approved 2026-09-22
Click to sort by {0}	انقر للترتيب حسب {0}	quorum-confirmed (release payload row)	stage6-W6-0b batch-1 owner-approved 2026-09-22
Collapse All	طيّ الكل	preserved-site-override (not imported, plan §12)	stage6-W6-0b batch-1 owner-approved 2026-09-22
Expand All	توسيع الكل	preserved-site-override (not imported, plan §12)	stage6-W6-0b batch-1 owner-approved 2026-09-22
Hide Preview	إخفاء المعاينة	quorum-confirmed (release payload row)	stage6-W6-0b batch-1 owner-approved 2026-09-22
