msgid,msgstr,context,locations,comments,review_notes
"<div class=""text-muted small"">
  <p><strong>Scope Context</strong> controls how users interact with multi-company, multi-cost-center environments.</p>
  <ul>
    <li>When enabled, users see Company/Cost Center/Project/Department selectors in the top bar.</li>
    <li>List views and form defaults respect the active scope.</li>
    <li>Use the Scope Dimensions section to choose which dimensions appear in the UI.</li>
    <li>Disable this to restore default Frappe behavior without uninstalling.</li>
  </ul>
</div>","<div class=""text-muted small"">
  <p><strong>سياق النطاق</strong> يتحكم في كيفية تعامل المستخدمين مع بيئات متعددة الشركات ومراكز التكلفة.</p>
  <ul>
    <li>عند التمكين، يرى المستخدمون محددات الشركة/مركز التكلفة/المشروع/القسم في الشريط العلوي.</li>
    <li>تحترم عروض القوائم والقيم الافتراضية للنماذج النطاق النشط.</li>
    <li>استخدم قسم أبعاد النطاق لاختيار الأبعاد التي تظهر في الواجهة.</li>
    <li>عطل هذه الميزة لاستعادة سلوك Frappe الافتراضي دون إلغاء التثبيت.</li>
  </ul>
</div>",,construction/construction/doctype/construction_settings/construction_settings.json:None,Content of the 'Scope Context Settings Help' (HTML) field in DocType | 'Construction Settings',
"<p class=""text-muted"">Loading scope hierarchy...</p>","<p class=""text-muted"">جار تحميل هيكل النطاق...</p>",,construction/construction/doctype/construction_settings/construction_settings.json:None,Content of the 'Scope Hierarchy' (HTML) field in DocType 'Construction | Settings',
<span class='h4'><b>Construction ERP</b></span>,<span class='h4'><b>نظام إدارة المقاولات</b></span>,,construction/workspace/construction/construction.json:None,Header text in the Construction Workspace,
Accent Color,لون التمييز,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the accent_color (Color) field in DocType 'Construction Theme',
Accent Primary,لون التمييز الأساسي,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the accent_primary (Color) field in DocType 'Construction Theme',
Accent Primary Hover,لون التمييز الأساسي عند المرور,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the accent_primary_hover (Color) field in DocType 'Construction | Theme',
Accent Secondary,لون التمييز الثانوي,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the accent_secondary (Color) field in DocType 'Construction Theme',
Accountant,محاسب,,construction/construction/doctype/boq_header/boq_header.json:None; construction/construction/doctype/boq_item/boq_item.json:None; construction/construction/doctype/boq_structure/boq_structure.json:None,Name of a role,
Actions,إجراءات,,construction/construction/doctype/boq_header/boq_header.js:369; construction/construction/doctype/boq_header/boq_header.js:406; construction/construction/doctype/construction_theme/construction_theme.js:12,,
Active,نشط,,construction/construction/doctype/costitem/cost_item.json:None,Option for the 'Status' (Select) field in DocType 'CostItem',
Administrator,مدير النظام,,construction/construction/doctype/construction_theme/construction_theme.json:None,Name of a role,
Advance Status,حالة التقدم,,construction/construction/doctype/boq_header/boq_header.js:345,,
Advanced,متقدم,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the advanced_tab (Tab Break) field in DocType 'Construction Theme',
All,الكل,,construction/construction/doctype/construction_theme/construction_theme.json:None; construction/construction/doctype/modern_theme_settings/modern_theme_settings.json:None; construction/construction/doctype/user_desk_theme/user_desk_theme.json:None; construction/construction/doctype/user_scope_context/user_scope_context.json:None,Name of a role,
Allow User Override,السماح بتخصيص المستخدم,,construction/construction/doctype/modern_theme_settings/modern_theme_settings.json:None,Label of the allow_user_override (Check) field in DocType 'Modern Theme | Settings',
Allow users to set their own theme preferences,السماح للمستخدمين بتعيين تفضيلات السمات الخاصة بهم,,construction/construction/doctype/modern_theme_settings/modern_theme_settings.json:None,Description of the 'Allow User Override' (Check) field in DocType 'Modern | Theme Settings',
App Title,عنوان التطبيق,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the app_title (Data) field in DocType 'Construction Theme',
Appended after generated CSS - use for edge-case overrides,يضاف بعد CSS المولد - يستخدم لتجاوزات الحالات الخاصة,,construction/construction/doctype/construction_theme/construction_theme.json:None,Description of the 'Custom CSS Overrides' (Code) field in DocType | 'Construction Theme',
"Array of 5 hex colors for switcher thumbnail [""#1a3a1e"",""#4CAF50"",...]","مصفوفة من 5 ألوان بصيغة hex لمعاينة مبدل السمات [""#1a3a1e"",""#4CAF50"",...]",,construction/construction/doctype/construction_theme/construction_theme.json:None,Description of the 'Preview Palette' (JSON) field in DocType 'Construction | Theme',
