app,msgid,context,locations,comments,ct_app,po_translation,runtime_translation,effective_translation,proposed_translation,domain,priority,a1_status,a1_reviewer,a1_notes,a2_status,a2_reviewer,a2_notes,a3_status,a3_reviewer,a3_notes,qa_flags,cross_app_conflict,release_status,references
erpnext,Total Projected Qty,,,,erpnext,توقعات مجموع الكمية,,توقعات مجموع الكمية,,boq,pending,,,,,,,,,,,,Approved,
erpnext,Update Consumed Material Cost In Project,,,,erpnext,تحديث تكلفة المواد المستهلكة في المشروع,,تحديث تكلفة المواد المستهلكة في المشروع,,boq,pending,,,,,,,,,,,,Approved,
erpnext,Costing Details,,,,erpnext,,تفاصيل احتساب التكلفة,تفاصيل احتساب التكلفة,,boq,missing,,,,,,,,,,,,Pending,
erpnext,Customer {0} does not belong to project {1},,,,erpnext,العميل {0} لا ينتمي الى المشروع {1}\n<br>\nCustomer {0} does not belong to project {1},,العميل {0} لا ينتمي الى المشروع {1}\n<br>\nCustomer {0} does not belong to project {1},,boq,pending,,,,,,,,,,html_imbalance,,Approved,
erpnext,Quantity and Description,,,,erpnext,الكمية والوصف,,الكمية والوصف,,boq,pending,,,,,,,,,,,,Approved,
erpnext,"For an item {0}, quantity must be positive number",,,,erpnext,بالنسبة إلى عنصر {0} ، يجب أن تكون الكمية رقمًا موجبًا,,بالنسبة إلى عنصر {0} ، يجب أن تكون الكمية رقمًا موجبًا,,boq,pending,,,,,,,,,,,,Approved,
erpnext,Quantity  that must be bought or sold per UOM,,,,erpnext,الكمية التي يجب شراؤها أو بيعها لكل UOM,,الكمية التي يجب شراؤها أو بيعها لكل UOM,,boq,pending,,,,,,,,,,,,Approved,
erpnext,as a percentage of finished item quantity,,,,erpnext,,,,,boq,missing,,,,,,,,,,,,Pending,
erpnext,Operating Cost Per BOM Quantity,,,,erpnext,,تكلفة التشغيل لكل كمية قائمة مواد,تكلفة التشغيل لكل كمية قائمة مواد,,boq,missing,,,,,,,,,,,,Pending,
erpnext,Quantity Difference,,,,erpnext,الكمية الفرق,,الكمية الفرق,,boq,pending,,,,,,,,,,,,Approved,
erpnext,Consumed quantity of item {0} exceeds transferred quantity.,,,,erpnext,,,,,boq,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Delivered Quantity,,,,erpnext,كمية تسليمها,,كمية تسليمها,,boq,pending,,,,,,,,,,,,Approved,
erpnext,Quantity to Manufacture must be greater than 0.,,,,erpnext,"""الكمية لتصنيع"" يجب أن تكون أكبر من 0.",,"""الكمية لتصنيع"" يجب أن تكون أكبر من 0.",,boq,pending,,,,,,,,,,,,Approved,
erpnext,Costing Rate,,,,erpnext,سعر التكلفة,,سعر التكلفة,,boq,pending,,,,,,,,,,,,Approved,
erpnext,Costing,,,,erpnext,,احتساب التكلفة,احتساب التكلفة,,boq,missing,,,,,,,,,,,,Pending,
erpnext,Scanned Quantity,,,,erpnext,,الكمية الممسوحة,الكمية الممسوحة,,boq,missing,,,,,,,,,,,,Pending,
erpnext,Planned Quantity,,,,erpnext,المخطط الكمية,,المخطط الكمية,,boq,pending,,,,,,,,,,,,Approved,
erpnext,Quantity to Scan,,,,erpnext,,الكمية المطلوب مسحها,الكمية المطلوب مسحها,,boq,missing,,,,,,,,,,,,Pending,
erpnext,Maximum sample quantity that can be retained,,,,erpnext,الحد الأقصى لعدد العينات التي يمكن الاحتفاظ بها,,الحد الأقصى لعدد العينات التي يمكن الاحتفاظ بها,,boq,pending,,,,,,,,,,,,Approved,
erpnext,Costing and Billing,,,,erpnext,التكلفة و الفواتير,,التكلفة و الفواتير,,boq,pending,,,,,,,,,,,,Approved,
erpnext,Zero quantity,,,,erpnext,,كمية صفرية,كمية صفرية,,boq,missing,,,,,,,,,,,,Pending,
erpnext,For quantity {0} should not be greater than allowed quantity {1},,,,erpnext,,,,,boq,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,"The percentage you are allowed to transfer more against the quantity ordered. For example, if you have ordered 100 units, and your Allowance is 10%, then you are allowed transfer 110 units.",,,,erpnext,,,,,boq,missing,,,,,,,,,,,,Pending,
erpnext,Asset Quantity,,,,erpnext,,كمية الأصل,كمية الأصل,,boq,missing,,,,,,,,,,,,Pending,
erpnext,For operation {0}: Quantity ({1}) can not be greater than pending quantity({2}),,,,erpnext,,,,,boq,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Produced Quantity,,,,erpnext,أنتجت الكمية,,أنتجت الكمية,,boq,pending,,,,,,,,,,,,Approved,
erpnext,Cannot produce more Item {0} than Sales Order quantity {1},,,,erpnext,لا يمكن أن تنتج المزيد من البند {0} اكثر من كمية طلب المبيعات {1},,لا يمكن أن تنتج المزيد من البند {0} اكثر من كمية طلب المبيعات {1},,boq,pending,,,,,,,,,,,,Approved,
erpnext,On Item Quantity,,,,erpnext,على كمية البند,,على كمية البند,,boq,pending,,,,,,,,,,,,Approved,
erpnext,Base Total Costing Amount,,,,erpnext,,إجمالي مبلغ التكلفة الأساسي,إجمالي مبلغ التكلفة الأساسي,,boq,missing,,,,,,,,,,,,Pending,
erpnext,Cannot reduce quantity than ordered or purchased quantity,,,,erpnext,,,,,boq,missing,,,,,,,,,,,,Pending,
erpnext,Enter the quantity to manufacture. Raw material Items will be fetched only when this is set.,,,,erpnext,,,,,boq,missing,,,,,,,,,,,,Pending,
erpnext,Projected Quantity Formula,,,,erpnext,,صيغة الكمية المتوقعة,صيغة الكمية المتوقعة,,boq,missing,,,,,,,,,,,,Pending,
erpnext,Project Manager,,,,erpnext,,مدير مشروع,مدير مشروع,,boq,missing,,,,,,,,,,,,Pending,
erpnext,"If the reorder check is set at the Group warehouse level, the available quantity becomes the sum of the projected quantities of all its child warehouses.",,,,erpnext,,,,,boq,missing,,,,,,,,,,,,Pending,
erpnext,Set Project Status,,,,erpnext,,تعيين حالة المشروع,تعيين حالة المشروع,,boq,missing,,,,,,,,,,,,Pending,
erpnext,Completed Projects,,,,erpnext,,المشاريع المكتملة,المشاريع المكتملة,,boq,missing,,,,,,,,,,,,Pending,
erpnext,Allow Quotation with Zero Quantity,,,,erpnext,,,,,boq,missing,,,,,,,,,,,,Pending,
erpnext,"The percentage you are allowed to receive or deliver more against the quantity ordered. For example, if you have ordered 100 units, and your Allowance is 10%, then you are allowed to receive 110 units.",,,,erpnext,,,,,boq,missing,,,,,,,,,,,,Pending,
erpnext,Row #{0}: Stock quantity {1} ({2}) for item {3} cannot exceed {4},,,,erpnext,,,,,boq,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Allow Request for Quotation with Zero Quantity,,,,erpnext,,,,,boq,missing,,,,,,,,,,,,Pending,
erpnext,Percentage you are allowed to order beyond the Blanket Order quantity.,,,,erpnext,,,,,boq,missing,,,,,,,,,,,,Pending,
erpnext,Process Loss Quantity,,,,erpnext,,كمية خسارة العملية,كمية خسارة العملية,,boq,missing,,,,,,,,,,,,Pending,
erpnext,At Row #{0}: The picked quantity {1} for the item {2} is greater than available stock {3} for the batch {4} in the warehouse {5}. Please restock the item.,,,,erpnext,,,,,boq,missing,,,,,,,,,,placeholder_mismatch,,Pending,
construction,BOQ Type,,,,construction,نوع جدول الكميات,نوع جدول الكميات,نوع جدول الكميات,,boq,pending,,,,,,,,,,,,Approved,
erpnext,Project Template Task,,,,erpnext,مهمة قالب المشروع,,مهمة قالب المشروع,,boq,pending,,,,,,,,,,,,Approved,
erpnext,Invalid Quantity,,,,erpnext,كمية غير صحيحة,,كمية غير صحيحة,,boq,pending,,,,,,,,,,,,Approved,
