app,msgid,msgstr,context,locations,comments,skip,review_notes
erpnext,  ,,,erpnext/setup/doctype/email_digest/email_digest.json:None,Label of the column_break_32 (Column Break) field in DocType 'Email Digest',yes,
erpnext, Address,العنوان,,erpnext/selling/doctype/quotation/quotation.js:73,,,reviewed_glossary
erpnext, Amount,المبلغ,,erpnext/accounts/report/item_wise_sales_register/item_wise_sales_register.py:605,,,reviewed_glossary
erpnext, BOM,قائمة المواد,,erpnext/public/js/bom_configurator/bom_configurator.bundle.js:114,,,reviewed_glossary
erpnext, Is Child Table,جدول فرعي,,erpnext/stock/doctype/inventory_dimension/inventory_dimension.json:None,Label of the istable (Check) field in DocType 'Inventory Dimension',,reviewed_glossary
erpnext, Is Subcontracted,مصنع بالعقد,,erpnext/manufacturing/doctype/job_card/job_card.json:None,Label of the is_subcontracted (Check) field in DocType 'Job Card',,reviewed_glossary
erpnext, Item,الصنف,,erpnext/public/js/bom_configurator/bom_configurator.bundle.js:196,,,reviewed_glossary
erpnext, Name,الاسم,,erpnext/accounts/report/customer_ledger_summary/customer_ledger_summary.py:153; erpnext/accounts/report/tax_withholding_details/tax_withholding_details.py:206; erpnext/accounts/report/tds_computation_summary/tds_computation_summary.py:107; erpnext/selling/report/sales_analytics/sales_analytics.py:128,,,reviewed_glossary
erpnext, Phantom Item,صنف وهمي,,erpnext/public/js/bom_configurator/bom_configurator.bundle.js:144; erpnext/public/js/bom_configurator/bom_configurator.bundle.js:185,,,reviewed_glossary
erpnext, Rate,السعر,,erpnext/accounts/report/item_wise_sales_register/item_wise_sales_register.py:596,,,reviewed_glossary
erpnext, Raw Material,المادة الخام,,erpnext/public/js/bom_configurator/bom_configurator.bundle.js:122,,,reviewed_glossary
erpnext, Skip Material Transfer,تخطي نقل المواد,,erpnext/manufacturing/doctype/bom_operation/bom_operation.json:None,Label of the skip_material_transfer (Check) field in DocType 'BOM Operation',,reviewed_glossary
erpnext, Sub Assembly,تجميع فرعي,,erpnext/public/js/bom_configurator/bom_configurator.bundle.js:133; erpnext/public/js/bom_configurator/bom_configurator.bundle.js:174,,,reviewed_glossary
erpnext, Summary,,,erpnext/projects/doctype/project_update/project_update.py:104,,,
erpnext,"""SN-01::10"" for ""SN-01"" to ""SN-10""",,,erpnext/public/js/utils/serial_no_batch_selector.js:262,,,
erpnext,# In Stock,,,erpnext/manufacturing/report/work_order_stock_report/work_order_stock_report.py:148,,,
erpnext,# Req'd Items,,,erpnext/manufacturing/report/work_order_stock_report/work_order_stock_report.py:141,,,
erpnext,%  Delivered,نسبة التسليم,,erpnext/selling/doctype/sales_order/sales_order.json:None,Label of the per_delivered (Percent) field in DocType 'Sales Order',,reviewed_glossary
erpnext,% Amount Billed,نسبة المبلغ المفوتر,,erpnext/projects/doctype/timesheet/timesheet.json:None; erpnext/selling/doctype/sales_order/sales_order.json:None; erpnext/stock/doctype/delivery_note/delivery_note.json:None; erpnext/stock/doctype/purchase_receipt/purchase_receipt.json:None,Label of the per_billed (Percent) field in DocType 'Timesheet' | Label of the per_billed (Percent) field in DocType 'Sales Order' | Label of the per_billed (Percent) field in DocType 'Delivery Note' | Label of the per_billed (Percent) field in DocType 'Purchase Receipt',,reviewed_glossary
erpnext,% Billed,نسبة المفوتر,,erpnext/buying/doctype/purchase_order/purchase_order.json:None,Label of the per_billed (Percent) field in DocType 'Purchase Order',,reviewed_glossary
erpnext,% Complete Method,طريقة نسبة الإنجاز,,erpnext/projects/doctype/project/project.json:None,Label of the percent_complete_method (Select) field in DocType 'Project',,reviewed_glossary
erpnext,% Completed,نسبة الإنجاز,,erpnext/projects/doctype/project/project.json:None,Label of the percent_complete (Percent) field in DocType 'Project',,reviewed_glossary
erpnext,% Finished Item Quantity,نسبة كمية الصنف النهائي,,erpnext/manufacturing/doctype/bom/bom.js:962,,,reviewed_glossary
erpnext,% Installed,نسبة المركب,,erpnext/stock/doctype/delivery_note/delivery_note.json:None,Label of the per_installed (Percent) field in DocType 'Delivery Note',,reviewed_glossary
erpnext,% Occupied,نسبة الإشغال,,erpnext/stock/page/warehouse_capacity_summary/warehouse_capacity_summary.js:70; erpnext/stock/page/warehouse_capacity_summary/warehouse_capacity_summary_header.html:16,,,reviewed_glossary
erpnext,% Of Grand Total,نسبة من الإجمالي النهائي,,erpnext/accounts/report/item_wise_purchase_register/item_wise_purchase_register.py:277; erpnext/accounts/report/item_wise_sales_register/item_wise_sales_register.py:329,,,reviewed_glossary
erpnext,% Picked,نسبة المنتقى,,erpnext/selling/doctype/sales_order/sales_order.json:None,Label of the per_picked (Percent) field in DocType 'Sales Order',,reviewed_glossary
erpnext,% Process Loss,نسبة خسارة العملية,,erpnext/manufacturing/doctype/bom/bom.json:None; erpnext/stock/doctype/stock_entry/stock_entry.json:None; erpnext/subcontracting/doctype/subcontracting_inward_order/subcontracting_inward_order.json:None,Label of the process_loss_percentage (Percent) field in DocType 'BOM' | Label of the process_loss_percentage (Percent) field in DocType 'Stock | Entry' | Label of the per_process_loss (Percent) field in DocType 'Subcontracting | Inward Order',,reviewed_glossary
erpnext,% Produced,نسبة المنتج,,erpnext/subcontracting/doctype/subcontracting_inward_order/subcontracting_inward_order.json:None,Label of the per_produced (Percent) field in DocType 'Subcontracting Inward | Order',,reviewed_glossary
