app,msgid,context,locations,comments,ct_app,po_translation,runtime_translation,effective_translation,proposed_translation,domain,priority,a1_status,a1_reviewer,a1_notes,a2_status,a2_reviewer,a2_notes,a3_status,a3_reviewer,a3_notes,qa_flags,cross_app_conflict,release_status,references
construction,Handover,,,,construction,,التسليم الابتدائي,التسليم الابتدائي,التسليم الابتدائي,subcontracting,missing,Approved,Mona Khalil - Arabic Localization Lead,,Approved,Hesham Farouk - Egyptian Construction Accountant (EAS 48 / ETA),,Approved,Nadia Mostafa - Translation QA / Structural Review,,,,Released,MOF provisional/final acceptance guidance; glossary v2.0
construction,Subcontractor,,,,construction,,مقاول باطن,مقاول باطن,مقاول باطن,subcontracting,missing,Approved,Mona Khalil - Arabic Localization Lead,,Approved,Hesham Farouk - Egyptian Construction Accountant (EAS 48 / ETA),,Approved,Nadia Mostafa - Translation QA / Structural Review,,,,Released,Ministry of Finance contract execution guidance (المستخلص/مقاول من الباطن) + ETA; glossary v2.0 subcontracting domain
erpnext,Subcontracting Inward Order Service Item,,,,erpnext,,بند خدمة لأمر استلام مقاولات باطن,بند خدمة لأمر استلام مقاولات باطن,,subcontracting,missing,,,,,,,,,,,,Pending,
erpnext,Subcontracting Outward Order,,,,erpnext,,أمر إرسال مقاولات باطن,أمر إرسال مقاولات باطن,,subcontracting,missing,,,,,,,,,,,,Pending,
construction,Subcontract,,,,construction,قام بمقاولة فرعية,عقد مقاولات باطن,عقد مقاولات باطن,,subcontracting,released,Approved,Mona Khalil - Arabic Localization Lead,,Approved,Hesham Farouk - Egyptian Construction Accountant (EAS 48 / ETA),,Approved,Nadia Mostafa - Translation QA / Structural Review,,,,Released,Ministry of Finance contract execution guidance (المستخلص/مقاول من الباطن) + ETA; glossary v2.0 subcontracting domain
erpnext,Active Subcontracted Items,,,,erpnext,,الأصناف المنفذة من الباطن النشطة,الأصناف المنفذة من الباطن النشطة,,subcontracting,missing,,,,,,,,,,,,Pending,
erpnext,Subcontracting Inward Order Received Item,,,,erpnext,,بند مستلم لأمر استلام مقاولات باطن,بند مستلم لأمر استلام مقاولات باطن,,subcontracting,missing,,,,,,,,,,,,Pending,
erpnext,Subcontracting Inward Order Item,,,,erpnext,,بند أمر استلام مقاولات باطن,بند أمر استلام مقاولات باطن,,subcontracting,missing,,,,,,,,,,,,Pending,
erpnext,Subcontracted Raw Materials To Be Transferred,,,,erpnext,المواد الخام المتعاقد عليها من الباطن,,المواد الخام المتعاقد عليها من الباطن,,subcontracting,pending,,,,,,,,,,,,Approved,
erpnext,Contract Template,,,,erpnext,قالب العقد,,قالب العقد,,subcontracting,pending,,,,,,,,,,,,Approved,
erpnext,Subcontracting BOM,,,,erpnext,,قائمة مواد مقاول الباطن,قائمة مواد مقاول الباطن,,subcontracting,missing,,,,,,,,,,,,Pending,
erpnext,Creating Subcontracting Order ...,,,,erpnext,,,,,subcontracting,missing,,,,,,,,,,,,Pending,
erpnext,Subcontracting Order Item,,,,erpnext,,بند أمر مقاولات باطن,بند أمر مقاولات باطن,,subcontracting,missing,,,,,,,,,,,,Pending,
erpnext,Contract Template Fulfilment Terms,,,,erpnext,شروط استيفاء قالب العقد,,شروط استيفاء قالب العقد,,subcontracting,pending,,,,,,,,,,,,Approved,
erpnext,Sub-contracting,,,,erpnext,التعاقد من الباطن,,التعاقد من الباطن,,subcontracting,pending,,,,,,,,,,,,Approved,
