source_text,classification,location,suppression_rationale,ai_r_ref,length,app,suggested_ar
!=,EXCEPTION-technical,in-ledger (no vendor PO location match),"Keep vendor code/symbol/markup content untouched — technical fragment, no translation",AI-R: confirm technical suppress at W6-0b AI-R pass (stage6-w60b AI-R record),2,frappe,
#{0},EXCEPTION-technical,in-ledger (no vendor PO location match),"Keep vendor code/symbol/markup content untouched — technical fragment, no translation",AI-R: confirm technical suppress at W6-0b AI-R pass (stage6-w60b AI-R record),4,frappe,
'{0}' is not a valid IBAN,translation-candidate,in-ledger (no vendor PO location match),,AI-R: confirm prior-approved exclusion at W6-0b AI-R pass (stage6-w60b AI-R record),25,frappe,
'{0}' is not a valid URL,translation-candidate,in-ledger (no vendor PO location match),,AI-R: confirm prior-approved exclusion at W6-0b AI-R pass (stage6-w60b AI-R record),24,frappe,
(Mandatory),translation-candidate,in-ledger (no vendor PO location match),,AI-R: confirm prior-approved exclusion at W6-0b AI-R pass (stage6-w60b AI-R record),11,frappe,
1 = True & 0 = False,translation-candidate,in-ledger (no vendor PO location match),,AI-R: confirm prior-approved exclusion at W6-0b AI-R pass (stage6-w60b AI-R record),20,frappe,
1 Day,translation-candidate,in-ledger (no vendor PO location match),,AI-R: confirm prior-approved exclusion at W6-0b AI-R pass (stage6-w60b AI-R record),5,frappe,
1 day ago,translation-candidate,in-ledger (no vendor PO location match),,AI-R: confirm prior-approved exclusion at W6-0b AI-R pass (stage6-w60b AI-R record),9,frappe,
1 hour,translation-candidate,in-ledger (no vendor PO location match),,AI-R: confirm prior-approved exclusion at W6-0b AI-R pass (stage6-w60b AI-R record),6,frappe,
1 of 2,translation-candidate,in-ledger (no vendor PO location match),,AI-R: confirm prior-approved exclusion at W6-0b AI-R pass (stage6-w60b AI-R record),6,frappe,
1 row from {0},translation-candidate,in-ledger (no vendor PO location match),,AI-R: confirm prior-approved exclusion at W6-0b AI-R pass (stage6-w60b AI-R record),14,frappe,
1 row to {0},translation-candidate,in-ledger (no vendor PO location match),,AI-R: confirm prior-approved exclusion at W6-0b AI-R pass (stage6-w60b AI-R record),12,frappe,
1 second ago,translation-candidate,in-ledger (no vendor PO location match),,AI-R: confirm prior-approved exclusion at W6-0b AI-R pass (stage6-w60b AI-R record),12,frappe,
2 hours ago,translation-candidate,in-ledger (no vendor PO location match),,AI-R: confirm prior-approved exclusion at W6-0b AI-R pass (stage6-w60b AI-R record),11,frappe,
2 months ago,translation-candidate,in-ledger (no vendor PO location match),,AI-R: confirm prior-approved exclusion at W6-0b AI-R pass (stage6-w60b AI-R record),12,frappe,
2 weeks ago,translation-candidate,in-ledger (no vendor PO location match),,AI-R: confirm prior-approved exclusion at W6-0b AI-R pass (stage6-w60b AI-R record),11,frappe,
2 years ago,translation-candidate,in-ledger (no vendor PO location match),,AI-R: confirm prior-approved exclusion at W6-0b AI-R pass (stage6-w60b AI-R record),11,frappe,
3 minutes ago,translation-candidate,in-ledger (no vendor PO location match),,AI-R: confirm prior-approved exclusion at W6-0b AI-R pass (stage6-w60b AI-R record),13,frappe,
30 minutes,translation-candidate,in-ledger (no vendor PO location match),,AI-R: confirm prior-approved exclusion at W6-0b AI-R pass (stage6-w60b AI-R record),10,frappe,
4 hours,translation-candidate,in-ledger (no vendor PO location match),,AI-R: confirm prior-approved exclusion at W6-0b AI-R pass (stage6-w60b AI-R record),7,frappe,
5 days ago,translation-candidate,in-ledger (no vendor PO location match),,AI-R: confirm prior-approved exclusion at W6-0b AI-R pass (stage6-w60b AI-R record),10,frappe,
<,EXCEPTION-technical,in-ledger (no vendor PO location match),"Keep vendor code/symbol/markup content untouched — technical fragment, no translation",AI-R: confirm technical suppress at W6-0b AI-R pass (stage6-w60b AI-R record),1,frappe,
<=,EXCEPTION-technical,in-ledger (no vendor PO location match),"Keep vendor code/symbol/markup content untouched — technical fragment, no translation",AI-R: confirm technical suppress at W6-0b AI-R pass (stage6-w60b AI-R record),2,frappe,
<b>{0}</b> is not a valid URL,EXCEPTION-technical,in-ledger (no vendor PO location match),"Keep vendor code/symbol/markup content untouched — technical fragment, no translation",AI-R: confirm technical suppress at W6-0b AI-R pass (stage6-w60b AI-R record),29,frappe,
"<span class=\""h2\"">Hi,</span>",EXCEPTION-technical,in-ledger (no vendor PO location match),"Keep vendor code/symbol/markup content untouched — technical fragment, no translation",AI-R: confirm technical suppress at W6-0b AI-R pass (stage6-w60b AI-R record),29,frappe,
=,EXCEPTION-technical,in-ledger (no vendor PO location match),"Keep vendor code/symbol/markup content untouched — technical fragment, no translation",AI-R: confirm technical suppress at W6-0b AI-R pass (stage6-w60b AI-R record),1,frappe,
>,EXCEPTION-technical,in-ledger (no vendor PO location match),"Keep vendor code/symbol/markup content untouched — technical fragment, no translation",AI-R: confirm technical suppress at W6-0b AI-R pass (stage6-w60b AI-R record),1,frappe,
>=,EXCEPTION-technical,in-ledger (no vendor PO location match),"Keep vendor code/symbol/markup content untouched — technical fragment, no translation",AI-R: confirm technical suppress at W6-0b AI-R pass (stage6-w60b AI-R record),2,frappe,
A0,translation-candidate,in-ledger (no vendor PO location match),,AI-R: confirm prior-approved exclusion at W6-0b AI-R pass (stage6-w60b AI-R record),2,frappe,
A1,translation-candidate,in-ledger (no vendor PO location match),,AI-R: confirm prior-approved exclusion at W6-0b AI-R pass (stage6-w60b AI-R record),2,frappe,
A2,translation-candidate,in-ledger (no vendor PO location match),,AI-R: confirm prior-approved exclusion at W6-0b AI-R pass (stage6-w60b AI-R record),2,frappe,
A3,translation-candidate,in-ledger (no vendor PO location match),,AI-R: confirm prior-approved exclusion at W6-0b AI-R pass (stage6-w60b AI-R record),2,frappe,
A5,translation-candidate,in-ledger (no vendor PO location match),,AI-R: confirm prior-approved exclusion at W6-0b AI-R pass (stage6-w60b AI-R record),2,frappe,
A6,translation-candidate,in-ledger (no vendor PO location match),,AI-R: confirm prior-approved exclusion at W6-0b AI-R pass (stage6-w60b AI-R record),2,frappe,
A7,translation-candidate,in-ledger (no vendor PO location match),,AI-R: confirm prior-approved exclusion at W6-0b AI-R pass (stage6-w60b AI-R record),2,frappe,
A8,translation-candidate,in-ledger (no vendor PO location match),,AI-R: confirm prior-approved exclusion at W6-0b AI-R pass (stage6-w60b AI-R record),2,frappe,
A9,translation-candidate,in-ledger (no vendor PO location match),,AI-R: confirm prior-approved exclusion at W6-0b AI-R pass (stage6-w60b AI-R record),2,frappe,
API Endpoint Args should be valid JSON,translation-candidate,in-ledger (no vendor PO location match),,AI-R: confirm prior-approved exclusion at W6-0b AI-R pass (stage6-w60b AI-R record),38,frappe,
API Key cannot be regenerated,translation-candidate,in-ledger (no vendor PO location match),,AI-R: confirm prior-approved exclusion at W6-0b AI-R pass (stage6-w60b AI-R record),29,frappe,
API Keys,translation-candidate,in-ledger (no vendor PO location match),,AI-R: confirm prior-approved exclusion at W6-0b AI-R pass (stage6-w60b AI-R record),8,frappe,
