source_text,suggested_ar,locations,area,has_pre_filled,proposed_disposition,disposition_rationale
A - B,,erpnext/stock/report/stock_ledger_invariant_check/stock_ledger_invariant_check.py:213; erpnext/stock/report/stock_ledger_variance/stock_ledger_variance.py:116,stock,0,EXCEPTION-technical,Identifier/letter technical token; retain vendor rendering; not a translatable payload.
A - C,,erpnext/stock/report/fifo_queue_vs_qty_after_transaction_comparison/fifo_queue_vs_qty_after_transaction_comparison.py:189; erpnext/stock/report/stock_ledger_invariant_check/stock_ledger_invariant_check.py:228; erpnext/stock/report/stock_ledger_variance/stock_ledger_variance.py:131,stock,0,EXCEPTION-technical,Identifier/letter technical token; retain vendor rendering; not a translatable payload.
CODE-39,,erpnext/stock/doctype/item_barcode/item_barcode.json:None,stock,0,EXCEPTION-technical,Identifier/letter technical token; retain vendor rendering; not a translatable payload.
D - E,,erpnext/stock/report/fifo_queue_vs_qty_after_transaction_comparison/fifo_queue_vs_qty_after_transaction_comparison.py:204; erpnext/stock/report/stock_ledger_invariant_check/stock_ledger_invariant_check.py:243; erpnext/stock/report/stock_ledger_variance/stock_ledger_variance.py:146,stock,0,EXCEPTION-technical,Identifier/letter technical token; retain vendor rendering; not a translatable payload.
EAN,,erpnext/stock/doctype/item_barcode/item_barcode.json:None,stock,0,EXCEPTION-technical,Identifier/letter technical token; retain vendor rendering; not a translatable payload.
EAN-12,,erpnext/stock/doctype/item_barcode/item_barcode.json:None,stock,0,EXCEPTION-technical,Identifier/letter technical token; retain vendor rendering; not a translatable payload.
EAN-8,,erpnext/stock/doctype/item_barcode/item_barcode.json:None,stock,0,EXCEPTION-technical,Identifier/letter technical token; retain vendor rendering; not a translatable payload.
G - D,,erpnext/stock/report/stock_ledger_invariant_check/stock_ledger_invariant_check.py:258; erpnext/stock/report/stock_ledger_variance/stock_ledger_variance.py:161,stock,0,EXCEPTION-technical,Identifier/letter technical token; retain vendor rendering; not a translatable payload.
GS1,,erpnext/stock/doctype/item_barcode/item_barcode.json:None,stock,0,EXCEPTION-technical,Identifier/letter technical token; retain vendor rendering; not a translatable payload.
GTIN,,erpnext/stock/doctype/item_barcode/item_barcode.json:None,stock,0,EXCEPTION-technical,Identifier/letter technical token; retain vendor rendering; not a translatable payload.
H - F,,erpnext/stock/report/stock_ledger_invariant_check/stock_ledger_invariant_check.py:268; erpnext/stock/report/stock_ledger_variance/stock_ledger_variance.py:171,stock,0,EXCEPTION-technical,Identifier/letter technical token; retain vendor rendering; not a translatable payload.
I - J,,erpnext/stock/report/stock_ledger_invariant_check/stock_ledger_invariant_check.py:283; erpnext/stock/report/stock_ledger_variance/stock_ledger_variance.py:186,stock,0,EXCEPTION-technical,Identifier/letter technical token; retain vendor rendering; not a translatable payload.
I - K,,erpnext/stock/report/stock_ledger_invariant_check/stock_ledger_invariant_check.py:293; erpnext/stock/report/stock_ledger_variance/stock_ledger_variance.py:196,stock,0,EXCEPTION-technical,Identifier/letter technical token; retain vendor rendering; not a translatable payload.
ISBN,,erpnext/stock/doctype/item_barcode/item_barcode.json:None,stock,0,EXCEPTION-technical,Identifier/letter technical token; retain vendor rendering; not a translatable payload.
ISBN-10,,erpnext/stock/doctype/item_barcode/item_barcode.json:None,stock,0,EXCEPTION-technical,Identifier/letter technical token; retain vendor rendering; not a translatable payload.
ISBN-13,,erpnext/stock/doctype/item_barcode/item_barcode.json:None,stock,0,EXCEPTION-technical,Identifier/letter technical token; retain vendor rendering; not a translatable payload.
ISSN,,erpnext/stock/doctype/item_barcode/item_barcode.json:None,stock,0,EXCEPTION-technical,Identifier/letter technical token; retain vendor rendering; not a translatable payload.
JAN,,erpnext/stock/doctype/item_barcode/item_barcode.json:None,stock,0,EXCEPTION-technical,Identifier/letter technical token; retain vendor rendering; not a translatable payload.
PZN,,erpnext/stock/doctype/item_barcode/item_barcode.json:None,stock,0,EXCEPTION-technical,Identifier/letter technical token; retain vendor rendering; not a translatable payload.
"Reserved Qty ({0}) cannot be a fraction. To allow this, disable '{1}' in UOM {3}.",,erpnext/stock/doctype/stock_reservation_entry/stock_reservation_entry.py:263,stock,0,DEFERRED-source-defect,"Source requests {3}, but the inspected formatter does not provide that positional argument; vendor source fix is outside this proposal."
Row # {0}: Please enter quantity for Item {1} as it is not zero.,,erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py:205,stock,0,DEFERRED-source-defect,Source raises this while current_qty is zero; source condition/message conflict requires vendor-side correction.
UPC,,erpnext/stock/doctype/item_barcode/item_barcode.json:None,stock,0,EXCEPTION-technical,Identifier/letter technical token; retain vendor rendering; not a translatable payload.
UPC-A,,erpnext/stock/doctype/item_barcode/item_barcode.json:None,stock,0,EXCEPTION-technical,Identifier/letter technical token; retain vendor rendering; not a translatable payload.
