app,msgid,context,locations,comments,ct_app,po_translation,runtime_translation,effective_translation,proposed_translation,domain,priority,a1_status,a1_reviewer,a1_notes,a2_status,a2_reviewer,a2_notes,a3_status,a3_reviewer,a3_notes,qa_flags,cross_app_conflict,release_status,references
frappe,Child DocType,,,,frappe,,نوع مستند فرعي,نوع مستند فرعي,نوع مستند فرعي,technical,missing,Approved,Mona Khalil - Arabic Localization Lead,,Approved,Hesham Farouk - Egyptian Construction Accountant (EAS 48 / ETA),,Approved,Nadia Mostafa - Translation QA / Structural Review,,,,Released,glossary v1.0
construction,Mobilization Cost,,,,construction,,تكلفة تجهيز الموقع,تكلفة تجهيز الموقع,تكلفة تجهيز الموقع,technical,missing,Approved,Mona Khalil - Arabic Localization Lead,,Approved,Hesham Farouk - Egyptian Construction Accountant (EAS 48 / ETA),,Approved,Nadia Mostafa - Translation QA / Structural Review,,,,Released,glossary v1.0
construction,Progress Billing,,,,construction,,مستخلص جاري,مستخلص جاري,مستخلص جاري,technical,missing,Approved,Mona Khalil - Arabic Localization Lead,,Approved,Hesham Farouk - Egyptian Construction Accountant (EAS 48 / ETA),,Approved,Nadia Mostafa - Translation QA / Structural Review,,,,Released,glossary v1.0; EAS 48
erpnext,Child Company,,,,erpnext,,شركة تابعة,شركة تابعة,شركة تابعة,technical,missing,Approved,Mona Khalil - Arabic Localization Lead,,Approved,Hesham Farouk - Egyptian Construction Accountant (EAS 48 / ETA),,Approved,Nadia Mostafa - Translation QA / Structural Review,,,,Released,glossary v1.0
frappe,Child Node,,,,frappe,,عقدة فرعية,عقدة فرعية,عقدة فرعية,technical,missing,Approved,Mona Khalil - Arabic Localization Lead,,Approved,Hesham Farouk - Egyptian Construction Accountant (EAS 48 / ETA),,Approved,Nadia Mostafa - Translation QA / Structural Review,,,,Released,glossary v1.0
frappe,Child Row,,,,frappe,,صف فرعي,صف فرعي,صف فرعي,technical,missing,Approved,Mona Khalil - Arabic Localization Lead,,Approved,Hesham Farouk - Egyptian Construction Accountant (EAS 48 / ETA),,Approved,Nadia Mostafa - Translation QA / Structural Review,,,,Released,glossary v1.0
frappe,Child Document,,,,frappe,,مستند فرعي,مستند فرعي,مستند فرعي,technical,missing,Approved,Mona Khalil - Arabic Localization Lead,,Approved,Hesham Farouk - Egyptian Construction Accountant (EAS 48 / ETA),,Approved,Nadia Mostafa - Translation QA / Structural Review,,,,Released,glossary v1.0
frappe,Child Table,,,,frappe,,جدول فرعي,جدول فرعي,جدول فرعي,technical,missing,Approved,Mona Khalil - Arabic Localization Lead,,Approved,Hesham Farouk - Egyptian Construction Accountant (EAS 48 / ETA),,Approved,Nadia Mostafa - Translation QA / Structural Review,,,,Released,glossary v1.0
frappe,Searching ...,,,,frappe,جاري البحث ...,,جاري البحث ...,,technical,pending,,,,,,,,,,,,Approved,
frappe,Script,,,,frappe,سيناريو,,سيناريو,,technical,pending,,,,,,,,,,,,Approved,
