app,msgid,msgstr,context,locations,comments,skip,review_notes
erpnext,0 - 30 Days,,,erpnext/accounts/doctype/process_statement_of_accounts/process_statement_of_accounts.html:112; erpnext/accounts/doctype/process_statement_of_accounts/process_statement_of_accounts_accounts_receivable.html:360,,,
erpnext,30 - 60 Days,,,erpnext/accounts/doctype/process_statement_of_accounts/process_statement_of_accounts.html:113; erpnext/accounts/doctype/process_statement_of_accounts/process_statement_of_accounts_accounts_receivable.html:361,,,
erpnext,60 - 90 Days,,,erpnext/accounts/doctype/process_statement_of_accounts/process_statement_of_accounts.html:114; erpnext/accounts/doctype/process_statement_of_accounts/process_statement_of_accounts_accounts_receivable.html:362,,,
erpnext,90 - 120 Days,,,erpnext/accounts/doctype/process_statement_of_accounts/process_statement_of_accounts.html:115; erpnext/accounts/doctype/process_statement_of_accounts/process_statement_of_accounts_accounts_receivable.html:363,,,
erpnext,A Reverse Journal Entry {0} already exists for this Journal Entry.,,,erpnext/accounts/doctype/journal_entry/journal_entry.py:1952,,,
erpnext,Above 120 Days,أكثر من 120 يوما,,erpnext/accounts/doctype/process_statement_of_accounts/process_statement_of_accounts.html:116; erpnext/accounts/doctype/process_statement_of_accounts/process_statement_of_accounts_accounts_receivable.html:364,,,reviewed_glossary
erpnext,Account Currency (From),عملة الحساب (من),,erpnext/accounts/doctype/payment_entry/payment_entry.json:None,Label of the paid_from_account_currency (Link) field in DocType 'Payment | Entry',,reviewed_glossary
erpnext,Account Currency (To),عملة الحساب (إلى),,erpnext/accounts/doctype/payment_entry/payment_entry.json:None,Label of the paid_to_account_currency (Link) field in DocType 'Payment | Entry',,reviewed_glossary
erpnext,Account {0} should be of type Expense,,,erpnext/accounts/doctype/journal_entry/journal_entry.py:337,,,
erpnext,Add Columns in Transaction Currency,إضافة أعمدة بعملة المعاملة,,erpnext/accounts/report/general_ledger/general_ledger.js:207,,,reviewed_glossary
erpnext,Advance Taxes and Charges,الضرائب والرسوم المسبقة,,erpnext/accounts/doctype/advance_taxes_and_charges/advance_taxes_and_charges.json:None; erpnext/accounts/doctype/payment_entry/payment_entry.json:None,Name of a DocType | Label of the taxes (Table) field in DocType 'Payment Entry',,reviewed_glossary
