source_text,translated_text,quorum_decision,disposition_rationale,decision_ref,proposal_sha256
'{0}' should be in company currency {1}.,يجب أن يكون '{0}' بعملة الشركة {1}.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
A Transaction Deletion Document: {0} is triggered for {0},تم تشغيل مستند حذف المعاملات: {0} لـ {0},quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Abampere,أبامبير,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Abbr,الاختصار,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
According to CEFACT/ICG/2010/IC013 or CEFACT/ICG/2010/IC010,وفقًا للمعيار CEFACT/ICG/2010/IC013 أو CEFACT/ICG/2010/IC010,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Account {0} is disabled.,الحساب {0} معطّل.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Accountant,محاسب,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Acre,فدان,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Acre (US),فدان (أمريكي),quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Add Local Holidays,إضافة العطلات المحلية,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Administrative Assistant,مساعد إداري,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Administrative Officer,مسؤول إداري,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Advance Payment Date,تاريخ الدفعة المقدمة,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
