source_text,proposed_ar,proposed_disposition,disposition_rationale,decision_ref,locations
'{0}' should be in company currency {1}.,يجب أن يكون '{0}' بعملة الشركة {1}.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/doctype/company/company.py:295; erpnext/setup/doctype/company/company.py:306
A Transaction Deletion Document: {0} is triggered for {0},تم تشغيل مستند حذف المعاملات: {0} لـ {0},PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/doctype/company/company.py:1078
Abampere,أبامبير,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/uom_data.json:None
Abbr,الاختصار,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/doctype/company/company.json:None
According to CEFACT/ICG/2010/IC013 or CEFACT/ICG/2010/IC010,وفقًا للمعيار CEFACT/ICG/2010/IC013 أو CEFACT/ICG/2010/IC010,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/doctype/uom/uom.json:None
Account {0} is disabled.,الحساب {0} معطّل.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/doctype/company/company.py:266
Accountant,محاسب,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/designation.txt:1
Acre,فدان,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/uom_data.json:None
Acre (US),فدان (أمريكي),PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/uom_data.json:None
Add Local Holidays,إضافة العطلات المحلية,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/doctype/holiday_list/holiday_list.json:None
Administrative Assistant,مساعد إداري,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/designation.txt:2
Administrative Officer,مسؤول إداري,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/designation.txt:3
Advance Payment Date,تاريخ الدفعة المقدمة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/doctype/company/company.json:None
