source_text,proposed_ar,proposed_disposition,disposition_rationale,decision_ref,locations
Activities,الأنشطة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/lead/lead.json:None; erpnext/crm/doctype/opportunity/opportunity.json:None; erpnext/crm/doctype/prospect/prospect.json:None
Add Items in the Purpose Table,إضافة أصناف إلى جدول الأغراض,PROPOSED-payload,Corrected AI draft; requires renewed independent A1/A2/A3 quorum before release.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/maintenance/doctype/maintenance_visit/maintenance_visit.py:56
Add Lead to Prospect,إضافة العميل المحتمل إلى فرصة البيع,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/lead/lead.js:84
Add to Prospect,إضافة إلى فرصة البيع,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/lead/lead.js:38
Added On,أضيف في,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/crm_note/crm_note.json:None
Adding Lead to Prospect...,جار إضافة العميل المحتمل إلى فرصة البيع...,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/lead/lead.js:81
All Activities,كل الأنشطة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/lead/lead.json:None; erpnext/crm/doctype/opportunity/opportunity.json:None; erpnext/crm/doctype/prospect/prospect.json:None
All Activities HTML,HTML لكل الأنشطة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/lead/lead.json:None; erpnext/crm/doctype/opportunity/opportunity.json:None; erpnext/crm/doctype/prospect/prospect.json:None
Allow Lead Duplication based on Emails,السماح بتكرار العملاء المحتملين استنادًا إلى البريد الإلكتروني,PROPOSED-payload,Corrected AI draft; requires renewed independent A1/A2/A3 quorum before release.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/crm_settings/crm_settings.json:None
Annual Revenue,الإيراد السنوي,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/lead/lead.json:None; erpnext/crm/doctype/opportunity/opportunity.json:None; erpnext/crm/doctype/prospect/prospect.json:None
Apply SLA for Resolution Time,تطبيق اتفاقية مستوى الخدمة على وقت الحل,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/support/doctype/service_level_agreement/service_level_agreement.json:None
Appointment was created. But no lead was found. Please check the email to confirm,تم إنشاء الموعد. ولكن لم يتم العثور على عميل محتمل. يرجى التحقق من البريد الإلكتروني للتأكيد,PROPOSED-payload,Corrected AI draft; requires renewed independent A1/A2/A3 quorum before release.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/appointment/appointment.py:101
Assignment Conditions,شروط الإسناد,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/support/doctype/service_level_agreement/service_level_agreement.json:None
Auto Creation of Contact,إنشاء جهة الاتصال تلقائيا,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/crm_settings/crm_settings.json:None
Auto close Opportunity Replied after the no. of days mentioned above,إغلاق تلقائي للفرصة التي تم الرد عليها بعد عدد الأيام المذكور أعلاه,PROPOSED-payload,Corrected AI draft; requires renewed independent A1/A2/A3 quorum before release.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/crm_settings/crm_settings.json:None
CRM Note,ملاحظة إدارة العلاقات,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/crm_note/crm_note.json:None
CRM Settings,إعدادات إدارة علاقات العملاء,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/crm_settings/crm_settings.json:None; erpnext/crm/workspace/crm/crm.json:None
Carry Forward Communication and Comments,ترحيل الاتصالات والتعليقات,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/crm_settings/crm_settings.json:None
Close Replied Opportunity After Days,إغلاق الفرصة المجاب عنها بعد أيام,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/crm_settings/crm_settings.json:None
Closing,الإغلاق,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/prospect_opportunity/prospect_opportunity.json:None
Competitor,منافس,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/competitor/competitor.json:None; erpnext/crm/doctype/competitor_detail/competitor_detail.json:None; erpnext/selling/report/lost_quotations/lost_quotations.py:24
Competitor Detail,تفاصيل المنافس,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/competitor_detail/competitor_detail.json:None
Competitor Name,اسم المنافس,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/competitor/competitor.json:None
Competitors,المنافسون,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/opportunity/opportunity.json:None; erpnext/public/js/utils/sales_common.js:583; erpnext/selling/doctype/quotation/quotation.json:None
Contact Mobile,جوال جهة الاتصال,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/opportunity/opportunity.json:None
Contract Template Help,مساعدة قالب العقد,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/contract_template/contract_template.json:None
Create Opportunity,إنشاء فرصة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/lead/lead.js:161
Create Prospect,إنشاء فرصة بيع,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/lead/lead_list.js:8
Data Based On,البيانات بناء على,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/report/opportunity_summary_by_sales_stage/opportunity_summary_by_sales_stage.js:15
Date must be between {0} and {1},يجب أن يكون التاريخ بين {0} و {1},PROPOSED-payload,Corrected AI draft; requires renewed independent A1/A2/A3 quorum before release.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/maintenance/doctype/maintenance_visit/maintenance_visit.py:72; erpnext/maintenance/doctype/maintenance_visit/maintenance_visit.py:92
Deal Owner,مالك الصفقة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/prospect_opportunity/prospect_opportunity.json:None
Default Service Level Agreement for {0} already exists.,اتفاقية مستوى الخدمة الافتراضية لـ {0} موجودة بالفعل.,PROPOSED-payload,Corrected AI draft; requires renewed independent A1/A2/A3 quorum before release.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/support/doctype/service_level_agreement/service_level_agreement.py:161
"Email Address must be unique, it is already used in {0}",يجب أن يكون عنوان البريد الإلكتروني فريدًا، فهو مستخدم بالفعل في {0},PROPOSED-payload,Corrected AI draft; requires renewed independent A1/A2/A3 quorum before release.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/lead/lead.py:164
Email verification failed.,فشل التحقق من البريد الإلكتروني.,PROPOSED-payload,Corrected AI draft; requires renewed independent A1/A2/A3 quorum before release.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/appointment/appointment.py:114
