app,msgid,context,locations,comments,ct_app,po_translation,runtime_translation,effective_translation,proposed_translation,domain,priority,a1_status,a1_reviewer,a1_notes,a2_status,a2_reviewer,a2_notes,a3_status,a3_reviewer,a3_notes,qa_flags,cross_app_conflict,release_status,references
erpnext,Cannot complete task {0} as its dependant task {1} are not completed / cancelled.,,,,erpnext,,,,,core-actions,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Delivery Notes {0} updated,,,,erpnext,تم تعديل إشعار  التسليم {0},,تم تعديل إشعار  التسليم {0},,core-actions,pending,,,,,,,,,,,,Approved,
erpnext,"If not, you can Cancel / Submit this entry",,,,erpnext,,,,,core-actions,missing,,,,,,,,,,,,Pending,
frappe,Error in {0}.get_list: {1},,,,frappe,,,,,core-actions,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Supplier Quotation {0} Created,,,,erpnext,تم إنشاء عرض أسعار المورد {0},,تم إنشاء عرض أسعار المورد {0},,core-actions,pending,,,,,,,,,,,,Approved,
frappe,"The application has been updated to a new version, please refresh this page",,,,frappe,تم تحديث التطبيق إلى الإصدار الجديد، يرجى تحديث هذه الصفحة,,تم تحديث التطبيق إلى الإصدار الجديد، يرجى تحديث هذه الصفحة,,core-actions,pending,,,,,,,,,,,,Approved,
frappe,Delimiter detection failed. Try to enable custom delimiters and adjust the delimiter options as per your data.,,,,frappe,,,,,core-actions,missing,,,,,,,,,,,,Pending,
erpnext,{} can't be cancelled since the Loyalty Points earned has been redeemed. First cancel the {} No {},,,,erpnext,لا يمكن إلغاء {} نظرًا لاسترداد نقاط الولاء المكتسبة. قم أولاً بإلغاء {} لا {},,لا يمكن إلغاء {} نظرًا لاسترداد نقاط الولاء المكتسبة. قم أولاً بإلغاء {} لا {},,core-actions,pending,,,,,,,,,,,,Approved,
frappe,Error connecting via IMAP/POP3: {e},,,,frappe,,,,,core-actions,missing,,,,,,,,,,placeholder_mismatch,,Pending,
frappe,Created On,,,,frappe,,,,,core-actions,missing,,,,,,,,,,,1,Pending,
erpnext,Auto Create Serial and Batch Bundle For Outward,,,,erpnext,,إنشاء مجموعة تسلسل ودفعة تلقائيا للصادر,إنشاء مجموعة تسلسل ودفعة تلقائيا للصادر,,core-actions,missing,,,,,,,,,,,,Pending,
frappe,Create a new record,,,,frappe,إنشاء سجل جديد,,إنشاء سجل جديد,,core-actions,pending,,,,,,,,,,,,Approved,
erpnext,Duplicate Serial Number Error,,,,erpnext,,خطأ رقم تسلسلي مكرر,خطأ رقم تسلسلي مكرر,,core-actions,missing,,,,,,,,,,,,Pending,
frappe,Document Type is not submittable,,,,frappe,نوع المستند غير قابل للتقديم,,نوع المستند غير قابل للتقديم,,core-actions,pending,,,,,,,,,,,,Approved,
frappe,"Meaning of Submit, Cancel, Amend",,,,frappe,,,,,core-actions,missing,,,,,,,,,,,,Pending,
erpnext,{0} {1} is cancelled or stopped,,,,erpnext,{0} {1} يتم إلغاؤه أو إيقافه\n<br>\n{0} {1} is cancelled or stopped,,{0} {1} يتم إلغاؤه أو إيقافه\n<br>\n{0} {1} is cancelled or stopped,,core-actions,pending,,,,,,,,,,html_imbalance,,Approved,
erpnext,Error: {0} is mandatory field,,,,erpnext,الخطأ: {0} هو حقل إلزامي,,الخطأ: {0} هو حقل إلزامي,,core-actions,pending,,,,,,,,,,,,Approved,
frappe,Users are only able to delete attached files if the document is either in draft or if the document is canceled and they are also able to delete the document.,,,,frappe,,,,,core-actions,missing,,,,,,,,,,,,Pending,
erpnext,Delete Leads and Addresses,,,,erpnext,,حذف العملاء المحتملين والعناوين,حذف العملاء المحتملين والعناوين,,core-actions,missing,,,,,,,,,,,,Pending,
frappe,{0}: Cannot set Import without Create,,,,frappe,{0} : لا يمكن تحديد استيراد دون إنشاء,,{0} : لا يمكن تحديد استيراد دون إنشاء,,core-actions,pending,,,,,,,,,,,,Approved,
frappe,You are now following this document. You will receive daily updates via email. You can change this in User Settings.,,,,frappe,أنت الآن تتبع هذا المستند. سوف تتلقى التحديثات اليومية عبر البريد الإلكتروني. يمكنك تغيير هذا في إعدادات المستخدم.,,أنت الآن تتبع هذا المستند. سوف تتلقى التحديثات اليومية عبر البريد الإلكتروني. يمكنك تغيير هذا في إعدادات المستخدم.,,core-actions,pending,,,,,,,,,,,,Approved,
frappe,You are not allowed to delete Standard Report,,,,frappe,لا يُسمح لك بحذف التقرير القياسي,,لا يُسمح لك بحذف التقرير القياسي,,core-actions,pending,,,,,,,,,,,,Approved,
erpnext,Linking to Customer Failed. Please try again.,,,,erpnext,,,,,core-actions,missing,,,,,,,,,,,,Pending,
erpnext,Child Task exists for this Task. You can not delete this Task.,,,,erpnext,مهمة تابعة موجودة لهذه المهمة. لا يمكنك حذف هذه المهمة.,,مهمة تابعة موجودة لهذه المهمة. لا يمكنك حذف هذه المهمة.,,core-actions,pending,,,,,,,,,,,,Approved,
erpnext,This schedule was created when Asset {0} was restored.,,,,erpnext,,,,,core-actions,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,"Debit Note will update it's own outstanding amount, even if 'Return Against' is specified.",,,,erpnext,,,,,core-actions,missing,,,,,,,,,,,,Pending,
frappe,All fields are necessary to submit the comment.,,,,frappe,,,,,core-actions,missing,,,,,,,,,,,,Pending,
frappe,Deleted all documents successfully,,,,frappe,,,,,core-actions,missing,,,,,,,,,,,,Pending,
frappe,Delete,,,,frappe,,حذف,حذف,,core-actions,missing,,,,,,,,,,,,Pending,
frappe,Delete entire section with fields,Button text,,,frappe,,,,,core-actions,missing,,,,,,,,,,,,Pending,
erpnext,Retry Failed Transactions,,,,erpnext,,إعادة محاولة المعاملات الفاشلة,إعادة محاولة المعاملات الفاشلة,,core-actions,missing,,,,,,,,,,,,Pending,
erpnext,Force-Fetch Subscription Updates,,,,erpnext,,,,,core-actions,missing,,,,,,,,,,,,Pending,
erpnext,Do not update variants on save,,,,erpnext,لا تقم بتحديث المتغيرات عند الحفظ,,لا تقم بتحديث المتغيرات عند الحفظ,,core-actions,pending,,,,,,,,,,,,Approved,
erpnext,Serial and Batch Bundle created,,,,erpnext,,تم إنشاء مجموعة التسلسل والدفعة,تم إنشاء مجموعة التسلسل والدفعة,,core-actions,missing,,,,,,,,,,,,Pending,
erpnext,"Could not create Credit Note automatically, please uncheck 'Issue Credit Note' and submit again",,,,erpnext,تعذر إنشاء إشعار دائن تلقائيًا ، يُرجى إلغاء تحديد &quot;إشعار ائتمان الإصدار&quot; وإرساله مرة أخرى,,تعذر إنشاء إشعار دائن تلقائيًا ، يُرجى إلغاء تحديد &quot;إشعار ائتمان الإصدار&quot; وإرساله مرة أخرى,,core-actions,pending,,,,,,,,,,,,Approved,
frappe,Failed to update global settings,,,,frappe,,,,,core-actions,missing,,,,,,,,,,,,Pending,
frappe,Restoring Deleted Document,,,,frappe,استعادة المستند المحذوف,,استعادة المستند المحذوف,,core-actions,pending,,,,,,,,,,,,Approved,
frappe,Update {0} records,,,,frappe,,,,,core-actions,missing,,,,,,,,,,placeholder_mismatch,,Pending,
frappe,Enabling this will submit documents in background,,,,frappe,,,,,core-actions,missing,,,,,,,,,,,,Pending,
frappe,Choose Existing Card or create New Card,,,,frappe,اختر بطاقة موجودة أو أنشئ بطاقة جديدة,,اختر بطاقة موجودة أو أنشئ بطاقة جديدة,,core-actions,pending,,,,,,,,,,,,Approved,
frappe,Cannot cancel {0}.,,,,frappe,,,,,core-actions,missing,,,,,,,,,,placeholder_mismatch,,Pending,
frappe,Cannot update {0},,,,frappe,لا يمكن تحديث {0},,لا يمكن تحديث {0},,core-actions,pending,,,,,,,,,,,,Approved,
frappe,You created this document {0},Form timeline,,,frappe,,,,,core-actions,missing,,,,,,,,,,placeholder_mismatch,,Pending,
frappe,"Please click on 'Export Errored Rows', fix the errors and import again.",,,,frappe,,,,,core-actions,missing,,,,,,,,,,,,Pending,
frappe,Error Logs,,,,frappe,,,,,core-actions,missing,,,,,,,,,,,,Pending,
frappe,Workflow updated successfully,,,,frappe,,,,,core-actions,missing,,,,,,,,,,,,Pending,
erpnext,Update Additional Information,,,,erpnext,,تحديث المعلومات الإضافية,تحديث المعلومات الإضافية,,core-actions,missing,,,,,,,,,,,,Pending,
erpnext,"Reselect, if the chosen address is edited after save",,,,erpnext,إعادة تحديد، إذا تم تحرير عنوان المختار بعد حفظ,,إعادة تحديد، إذا تم تحرير عنوان المختار بعد حفظ,,core-actions,pending,,,,,,,,,,,,Approved,
frappe,This site is running in developer mode. Any change made here will be updated in code.,,,,frappe,,,,,core-actions,missing,,,,,,,,,,,,Pending,
erpnext,Call Summary Saved,,,,erpnext,,,,,core-actions,missing,,,,,,,,,,,,Pending,
erpnext,Further nodes can be only created under 'Group' type nodes,,,,erpnext,العقد الإضافية التي يمكن أن تنشأ إلا في ظل العقد نوع ' المجموعة ',,العقد الإضافية التي يمكن أن تنشأ إلا في ظل العقد نوع ' المجموعة ',,core-actions,pending,,,,,,,,,,,,Approved,
erpnext,Cancel Subscription,,,,erpnext,إلغاء الاشتراك,,إلغاء الاشتراك,,core-actions,pending,,,,,,,,,,,,Approved,
erpnext,Note: Automatic log deletion only applies to logs of type <i>Update Cost</i>,,,,erpnext,,,,,core-actions,missing,,,,,,,,,,html_imbalance,,Pending,
frappe,Cannot delete or cancel because {0} {1} is linked with {2} {3} {4},,,,frappe,لا يمكن حذف أو إلغاء لأن {0} {1} مرتبط مع {2} {3} {4},,لا يمكن حذف أو إلغاء لأن {0} {1} مرتبط مع {2} {3} {4},,core-actions,pending,,,,,,,,,,,,Approved,
erpnext,A new appointment has been created for you with {0},,,,erpnext,تم إنشاء موعد جديد لك من خلال {0},,تم إنشاء موعد جديد لك من خلال {0},,core-actions,pending,,,,,,,,,,,,Approved,
frappe,It is risky to delete this file: {0}. Please contact your System Manager.,,,,frappe,أنه أمر محفوف بالمخاطر لحذف هذا الملف: {0}. يرجى الاتصال بمدير النظام الخاص بك.,,أنه أمر محفوف بالمخاطر لحذف هذا الملف: {0}. يرجى الاتصال بمدير النظام الخاص بك.,,core-actions,pending,,,,,,,,,,,,Approved,
frappe,Action Failed,,,,frappe,فشل العمل,,فشل العمل,,core-actions,pending,,,,,,,,,,,,Approved,
erpnext,There was an error syncing transactions.,,,,erpnext,,,,,core-actions,missing,,,,,,,,,,,,Pending,
frappe,Error connecting via SMTP: {e},,,,frappe,,,,,core-actions,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Create Reposting Entries,,,,erpnext,,إنشاء قيود إعادة ترحيل,إنشاء قيود إعادة ترحيل,,core-actions,missing,,,,,,,,,,,,Pending,
erpnext,"Asset cannot be cancelled, as it is already {0}",,,,erpnext,لا يمكن إلغاء الأصل، لانه بالفعل {0},,لا يمكن إلغاء الأصل، لانه بالفعل {0},,core-actions,pending,,,,,,,,,,,,Approved,
frappe,{0} is not a valid Workflow State. Please update your Workflow and try again.,,,,frappe,{0} ليست حالة سير عمل صالحة. يرجى تحديث سير العمل والمحاولة مرة أخرى.,,{0} ليست حالة سير عمل صالحة. يرجى تحديث سير العمل والمحاولة مرة أخرى.,,core-actions,pending,,,,,,,,,,,,Approved,
frappe,{0} records deleted,,,,frappe,{0} تم حذف السجلات,,{0} تم حذف السجلات,,core-actions,pending,,,,,,,,,,,,Approved,
erpnext,Unable to find exchange rate for {0} to {1} for key date {2}. Please create a Currency Exchange record manually,,,,erpnext,تعذر العثور على سعر الصرف من {0} إلى {1} لتاريخ المفتاح {2}. يرجى إنشاء سجل صرف العملات يدويا,,تعذر العثور على سعر الصرف من {0} إلى {1} لتاريخ المفتاح {2}. يرجى إنشاء سجل صرف العملات يدويا,,core-actions,pending,,,,,,,,,,,,Approved,
frappe,Document has been submitted,,,,frappe,,,,,core-actions,missing,,,,,,,,,,,,Pending,
frappe,Please delete the field from {0} or add the required doctype.,,,,frappe,,,,,core-actions,missing,,,,,,,,,,placeholder_mismatch,,Pending,
frappe,Not allowed to create custom Virtual DocType.,,,,frappe,,,,,core-actions,missing,,,,,,,,,,,,Pending,
frappe,Saved,,,,frappe,حفظ,,حفظ,,core-actions,pending,,,,,,,,,,,,Approved,
erpnext,Capitalize this asset before submitting.,,,,erpnext,,,,,core-actions,missing,,,,,,,,,,,,Pending,
erpnext,Delivery Note {0} is not submitted,,,,erpnext,لم يتم اعتماد ملاحظه التسليم {0}\n<br>\nDelivery Note {0} is not submitted,,لم يتم اعتماد ملاحظه التسليم {0}\n<br>\nDelivery Note {0} is not submitted,,core-actions,pending,,,,,,,,,,html_imbalance,,Approved,
frappe,{0}: Cannot set Assign Amend if not Submittable,,,,frappe,{0}: لا يمكن تعيين معدل إذا لم يتم إرساله,,{0}: لا يمكن تعيين معدل إذا لم يتم إرساله,,core-actions,pending,,,,,,,,,,,,Approved,
frappe,Create Saved Filter,,,,frappe,,,,,core-actions,missing,,,,,,,,,,,,Pending,
erpnext,You cannot restart a Subscription that is not cancelled.,,,,erpnext,لا يمكنك إعادة تشغيل اشتراك غير ملغى.,,لا يمكنك إعادة تشغيل اشتراك غير ملغى.,,core-actions,pending,,,,,,,,,,,,Approved,
erpnext,Asset updated after being split into Asset {0},,,,erpnext,,,,,core-actions,missing,,,,,,,,,,placeholder_mismatch,,Pending,
frappe,Hide Error,,,,frappe,,,,,core-actions,missing,,,,,,,,,,,,Pending,
erpnext,"Failed to erase demo data, please delete the demo company manually.",,,,erpnext,,,,,core-actions,missing,,,,,,,,,,,,Pending,
frappe,Only the Administrator can delete a standard DocType.,,,,frappe,,,,,core-actions,missing,,,,,,,,,,,,Pending,
erpnext,Machine operator errors,,,,erpnext,أخطاء مشغل الآلة,,أخطاء مشغل الآلة,,core-actions,pending,,,,,,,,,,,,Approved,
erpnext,Please update Repair Status.,,,,erpnext,,,,,core-actions,missing,,,,,,,,,,,,Pending,
erpnext,Please select rows to create Reposting Entries,,,,erpnext,,,,,core-actions,missing,,,,,,,,,,,,Pending,
erpnext,Error Occurred,,,,erpnext,,حدث خطأ,حدث خطأ,,core-actions,missing,,,,,,,,,,,,Pending,
frappe,Create a New Format,,,,frappe,,,,,core-actions,missing,,,,,,,,,,,,Pending,
erpnext,Enter the name of the Beneficiary before submitting.,,,,erpnext,,,,,core-actions,missing,,,,,,,,,,,,Pending,
erpnext,Enabling this will change the way how cancelled transactions are handled.,,,,erpnext,,,,,core-actions,missing,,,,,,,,,,,,Pending,
erpnext,Verification failed please check the link,,,,erpnext,,فشل التحقق، يرجى فحص الرابط,فشل التحقق، يرجى فحص الرابط,,core-actions,missing,,,,,,,,,,,,Pending,
frappe,Create New DocType,,,,frappe,,,,,core-actions,missing,,,,,,,,,,,,Pending,
frappe,Submit another response,Button in web form,,,frappe,,,,,core-actions,missing,,,,,,,,,,,,Pending,
erpnext,Create a variant with the template image.,,,,erpnext,,,,,core-actions,missing,,,,,,,,,,,,Pending,
erpnext,BOMs Updated,,,,erpnext,,,,,core-actions,missing,,,,,,,,,,,,Pending,
frappe,This file is attached to a protected document and cannot be deleted.,,,,frappe,,,,,core-actions,missing,,,,,,,,,,,,Pending,
erpnext,Create New Customer,,,,erpnext,,إنشاء عميل جديد,إنشاء عميل جديد,,core-actions,missing,,,,,,,,,,,,Pending,
frappe,{0} created this document {1},Form timeline,,,frappe,,,,,core-actions,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,"Enter First and Last name of Employee, based on Which Full Name will be updated. IN transactions, it will be Full Name which will be fetched.",,,,erpnext,,,,,core-actions,missing,,,,,,,,,,,,Pending,
frappe,Please save the document before removing assignment,,,,frappe,الرجاء حفظ المستند قبل إزالة المهمة,,الرجاء حفظ المستند قبل إزالة المهمة,,core-actions,pending,,,,,,,,,,,,Approved,
erpnext,unique e.g. SAVE20  To be used to get discount,,,,erpnext,فريدة مثل SAVE20 لاستخدامها للحصول على الخصم,,فريدة مثل SAVE20 لاستخدامها للحصول على الخصم,,core-actions,pending,,,,,,,,,,,,Approved,
frappe,"You can change Submitted documents by cancelling them and then, amending them.",,,,frappe,,,,,core-actions,missing,,,,,,,,,,,,Pending,
frappe,<strong>Warning:</strong> This field is system generated and may be overwritten by a future update. Modify it using {0} instead.,,,,frappe,<strong>تحذ搉ير</strong>: هذا الحقل منطم من قبل النظام وقد يتم تجاوزه من قبل تحديث مستقبلي. قم بتحويره باستخدام {0} بدلا من ذلك.,,<strong>تحذ搉ير</strong>: هذا الحقل منطم من قبل النظام وقد يتم تجاوزه من قبل تحديث مستقبلي. قم بتحويره باستخدام {0} بدلا من ذلك.,,core-actions,pending,,,,,,,,,,,,Approved,
frappe,Delete this record to allow sending to this email address,,,,frappe,احذف هذا السجل للسماح بالإرسال إلى عنوان البريد الإلكتروني هذا,,احذف هذا السجل للسماح بالإرسال إلى عنوان البريد الإلكتروني هذا,,core-actions,pending,,,,,,,,,,,,Approved,
erpnext,"Creation of {0} failed.
				Check <b><a href=""/app/bulk-transaction-log"">Bulk Transaction Log</a></b>",,,,erpnext,,,,,core-actions,missing,,,,,,,,,,placeholder_mismatch;html_imbalance,,Pending,
frappe,Create or Edit Print Format,,,,frappe,,,,,core-actions,missing,,,,,,,,,,,,Pending,
frappe,"There were some errors setting the name, please contact the administrator",,,,frappe,كانت هناك بعض الأخطاء التي تحدد الاسم، يرجى الاتصال بالمشرف,,كانت هناك بعض الأخطاء التي تحدد الاسم، يرجى الاتصال بالمشرف,,core-actions,pending,,,,,,,,,,,,Approved,
frappe,"<p>Multiple webforms can be created for a single doctype. Add filters specific to this webform to display correct record after submission.</p><p>For Example:</p>
<p>If you create a separate webform every year to capture feedback from employees add a 
 field named year in doctype and add a filter <b>year = 2023</b></p>
",,,,frappe,,,,,core-actions,missing,,,,,,,,,,html_imbalance;whitespace,,Pending,
frappe,Last Updated By,,,,frappe,آخر تحديث بواسطة,,آخر تحديث بواسطة,,core-actions,pending,,,,,,,,,,,,Approved,
frappe,Report updated successfully,,,,frappe,تم تحديث التقرير بنجاح,,تم تحديث التقرير بنجاح,,core-actions,pending,,,,,,,,,,,,Approved,
frappe,Permanently delete {0}?,,,,frappe,حذف بشكل دائم {0} ؟,,حذف بشكل دائم {0} ؟,,core-actions,pending,,,,,,,,,,,,Approved,
erpnext,Work Order not created,,,,erpnext,أمر العمل لم يتم إنشاؤه,,أمر العمل لم يتم إنشاؤه,,core-actions,pending,,,,,,,,,,,,Approved,
frappe,Standard DocType can not be deleted.,,,,frappe,,,,,core-actions,missing,,,,,,,,,,,,Pending,
frappe,{0} {1} is linked with the following submitted documents: {2},,,,frappe,{0} {1} مرتبط بالمستندات المرسلة التالية: {2},,{0} {1} مرتبط بالمستندات المرسلة التالية: {2},,core-actions,pending,,,,,,,,,,,,Approved,
frappe,Report {0} deleted,,,,frappe,,,,,core-actions,missing,,,,,,,,,,placeholder_mismatch,,Pending,
frappe,Please update {} before continuing.,,,,frappe,,,,,core-actions,missing,,,,,,,,,,,,Pending,
erpnext,There are active maintenance or repairs against the asset. You must complete all of them before cancelling the asset.,,,,erpnext,هناك صيانة نشطة أو إصلاحات ضد الأصل. يجب عليك إكمالها جميعًا قبل إلغاء الأصل.,,هناك صيانة نشطة أو إصلاحات ضد الأصل. يجب عليك إكمالها جميعًا قبل إلغاء الأصل.,,core-actions,pending,,,,,,,,,,,,Approved,
frappe,After Cancel,,,,frappe,بعد الغاء,,بعد الغاء,,core-actions,pending,,,,,,,,,,,,Approved,
frappe,{0} created successfully,,,,frappe,تم إنشاء {0} بنجاح,,تم إنشاء {0} بنجاح,,core-actions,pending,,,,,,,,,,,,Approved,
erpnext,Cannot cancel POS Closing Entry,,,,erpnext,,,,,core-actions,missing,,,,,,,,,,,,Pending,
frappe,Cancel,Secondary button in warning dialog,,,frappe,إلغاء,,إلغاء,,core-actions,pending,,,,,,,,,,,,Approved,
frappe,Only Administrator can delete Email Queue,,,,frappe,يمكن فقط للمسؤول حذف قائمة انتظار البريد الإلكتروني,,يمكن فقط للمسؤول حذف قائمة انتظار البريد الإلكتروني,,core-actions,pending,,,,,,,,,,,,Approved,
frappe,Cannot change docstatus from 0 (Draft) to 2 (Cancelled),,,,frappe,,,,,core-actions,missing,,,,,,,,,,,,Pending,
erpnext,Create Employee,,,,erpnext,إنشاء موظف,,إنشاء موظف,,core-actions,pending,,,,,,,,,,,,Approved,
frappe,"Google Calendar - Could not fetch event from Google Calendar, error code {0}.",,,,frappe,تقويم Google - تعذر إحضار حدث من تقويم Google ، رمز الخطأ {0}.,,تقويم Google - تعذر إحضار حدث من تقويم Google ، رمز الخطأ {0}.,,core-actions,pending,,,,,,,,,,,,Approved,
erpnext,Create Job Card,,,,erpnext,إنشاء بطاقة العمل,,إنشاء بطاقة العمل,,core-actions,pending,,,,,,,,,,,,Approved,
erpnext,Job card {0} created,,,,erpnext,تم إنشاء بطاقة العمل {0},,تم إنشاء بطاقة العمل {0},,core-actions,pending,,,,,,,,,,,,Approved,
frappe,Failed to render message: {},,,,frappe,,,,,core-actions,missing,,,,,,,,,,,,Pending,
erpnext,Failed to post depreciation entries,,,,erpnext,,فشل ترحيل قيود الإهلاك,فشل ترحيل قيود الإهلاك,,core-actions,missing,,,,,,,,,,,,Pending,
erpnext,Please create Customer from Lead {0}.,,,,erpnext,الرجاء إنشاء عميل من العميل المحتمل {0}.,,الرجاء إنشاء عميل من العميل المحتمل {0}.,,core-actions,pending,,,,,,,,,,,,Approved,
erpnext,New {0} pricing rules are created,,,,erpnext,يتم إنشاء قواعد تسعير جديدة {0},,يتم إنشاء قواعد تسعير جديدة {0},,core-actions,pending,,,,,,,,,,,,Approved,
erpnext,Create in Draft Status,,,,erpnext,,,,,core-actions,missing,,,,,,,,,,,,Pending,
frappe,Scheduled execution for script {0} has updated,,,,frappe,تم تحديث التنفيذ المجدول للنص {0},,تم تحديث التنفيذ المجدول للنص {0},,core-actions,pending,,,,,,,,,,,,Approved,
frappe,After Submit,,,,frappe,بعد تقديم,,بعد تقديم,,core-actions,pending,,,,,,,,,,,,Approved,
erpnext,Please select a row to create a Reposting Entry,,,,erpnext,,يرجى تحديد صف لإنشاء قيد إعادة ترحيل,يرجى تحديد صف لإنشاء قيد إعادة ترحيل,,core-actions,missing,,,,,,,,,,,,Pending,
erpnext,Linking Failed,,,,erpnext,,فشل الربط,فشل الربط,,core-actions,missing,,,,,,,,,,,,Pending,
frappe,There were errors while creating the document. Please try again.,,,,frappe,كانت هناك أخطاء أثناء إنشاء المستند. حاول مرة اخرى.,,كانت هناك أخطاء أثناء إنشاء المستند. حاول مرة اخرى.,,core-actions,pending,,,,,,,,,,,,Approved,
frappe,Create Entry,,,,frappe,إنشاء الدخول,,إنشاء الدخول,,core-actions,pending,,,,,,,,,,,,Approved,
erpnext,Status must be Cancelled or Completed,,,,erpnext,يجب إلغاء الحالة أو إكمالها,,يجب إلغاء الحالة أو إكمالها,,core-actions,pending,,,,,,,,,,,,Approved,
erpnext,This action will stop future billing. Are you sure you want to cancel this subscription?,,,,erpnext,سيوقف هذا الإجراء الفوترة المستقبلية. هل أنت متأكد من أنك تريد إلغاء هذا الاشتراك؟,,سيوقف هذا الإجراء الفوترة المستقبلية. هل أنت متأكد من أنك تريد إلغاء هذا الاشتراك؟,,core-actions,pending,,,,,,,,,,,,Approved,
erpnext,Create Variants,,,,erpnext,إنشاء المتغيرات,,إنشاء المتغيرات,,core-actions,pending,,,,,,,,,,,,Approved,
frappe,Show Related Errors,,,,frappe,,,,,core-actions,missing,,,,,,,,,,,,Pending,
construction,Not permitted to update this document,,,,construction,غير مسموح بتحديث هذا المستند,غير مسموح بتحديث هذا المستند,غير مسموح بتحديث هذا المستند,,core-actions,pending,,,,,,,,,,,,Approved,
erpnext,You need to cancel POS Closing Entry {} to be able to cancel this document.,,,,erpnext,,,,,core-actions,missing,,,,,,,,,,,,Pending,
erpnext,Update Auto Repeat Reference,,,,erpnext,تحديث السيارات تكرار المرجع,,تحديث السيارات تكرار المرجع,,core-actions,pending,,,,,,,,,,,,Approved,
frappe,Failed to optimize image: {0},,,,frappe,,,,,core-actions,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Asset updated due to Asset Repair {0} {1}.,,,,erpnext,,,,,core-actions,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Work Orders Created: {0},,,,erpnext,أوامر العمل التي تم إنشاؤها: {0},,أوامر العمل التي تم إنشاؤها: {0},,core-actions,pending,,,,,,,,,,,,Approved,
erpnext,BOMs created successfully,,,,erpnext,,,,,core-actions,missing,,,,,,,,,,,,Pending,
frappe,Delete entire column with fields,Button text,,,frappe,,,,,core-actions,missing,,,,,,,,,,,,Pending,
erpnext,Reposting entries created: {0},,,,erpnext,,,,,core-actions,missing,,,,,,,,,,placeholder_mismatch,,Pending,
frappe,Remove Failed Jobs,,,,frappe,,,,,core-actions,missing,,,,,,,,,,,,Pending,
erpnext,Update Cost,,,,erpnext,تحديث التكلفة,,تحديث التكلفة,,core-actions,pending,,,,,,,,,,,,Approved,
frappe,{0}: Cannot set Cancel without Submit,,,,frappe,{0}: لا يمكن تعيين إلغاء بدون إرسال,,{0}: لا يمكن تعيين إلغاء بدون إرسال,,core-actions,pending,,,,,,,,,,,,Approved,
frappe,Cannot enable {0} for a non-submittable doctype,,,,frappe,,,,,core-actions,missing,,,,,,,,,,placeholder_mismatch,,Pending,
frappe,User Cannot Create,,,,frappe,المستخدم لا يستطيع أن ينشئ,,المستخدم لا يستطيع أن ينشئ,,core-actions,pending,,,,,,,,,,,,Approved,
erpnext,Asset submitted,,,,erpnext,,تم ترحيل الأصل,تم ترحيل الأصل,,core-actions,missing,,,,,,,,,,,,Pending,
erpnext,"Please delete Product Bundle {0}, before merging {1} into {2}",,,,erpnext,,,,,core-actions,missing,,,,,,,,,,placeholder_mismatch,,Pending,
frappe,"DocStatus of the following states have changed:<br><strong>{0}</strong><br>
				Do you want to update the docstatus of existing documents in those states?<br>
				This does not undo any effect bought in by the document's existing docstatus.
				",,,,frappe,,,,,core-actions,missing,,,,,,,,,,placeholder_mismatch;html_imbalance;whitespace,,Pending,
