source_text,suggested_ar,locations,area,has_pre_filled
'{0}' should be in company currency {1}.,,erpnext/setup/doctype/company/company.py:295; erpnext/setup/doctype/company/company.py:306,setup,0
A Transaction Deletion Document: {0} is triggered for {0},,erpnext/setup/doctype/company/company.py:1078,setup,0
Abampere,,erpnext/setup/setup_wizard/data/uom_data.json:None,setup,0
Abbr,الاختصار,erpnext/setup/doctype/company/company.json:None,setup,1
According to CEFACT/ICG/2010/IC013 or CEFACT/ICG/2010/IC010,,erpnext/setup/doctype/uom/uom.json:None,setup,0
Account {0} is disabled.,,erpnext/setup/doctype/company/company.py:266,setup,0
Accountant,محاسب,erpnext/setup/setup_wizard/data/designation.txt:1,setup,1
Acre,,erpnext/setup/setup_wizard/data/uom_data.json:None,setup,0
Acre (US),,erpnext/setup/setup_wizard/data/uom_data.json:None,setup,0
Add Local Holidays,إضافة العطلات المحلية,erpnext/setup/doctype/holiday_list/holiday_list.json:None,setup,1
Administrative Assistant,مساعد إداري,erpnext/setup/setup_wizard/data/designation.txt:2,setup,1
Administrative Officer,مسؤول إداري,erpnext/setup/setup_wizard/data/designation.txt:3,setup,1
Advance Payment Date,تاريخ الدفعة المقدمة,erpnext/setup/doctype/company/company.json:None,setup,1
Advertisement,إعلان,erpnext/setup/setup_wizard/data/marketing_source.txt:3,setup,1
Advertising,إعلانات,erpnext/setup/setup_wizard/data/industry_type.txt:2,setup,1
Aerospace,,erpnext/setup/setup_wizard/data/industry_type.txt:3,setup,0
Agent,وكيل,erpnext/setup/setup_wizard/data/sales_partner_type.txt:4,setup,1
Agriculture,الزراعة,erpnext/setup/setup_wizard/data/industry_type.txt:4,setup,1
Airline,,erpnext/setup/setup_wizard/data/industry_type.txt:5,setup,0
All Sales Transactions can be tagged against multiple Sales Persons so that you can set and monitor targets.,,erpnext/setup/doctype/sales_person/sales_person.json:None,setup,0
Ampere,,erpnext/setup/setup_wizard/data/uom_data.json:None,setup,0
Ampere-Hour,,erpnext/setup/setup_wizard/data/uom_data.json:None,setup,0
Ampere-Minute,,erpnext/setup/setup_wizard/data/uom_data.json:None,setup,0
Ampere-Second,,erpnext/setup/setup_wizard/data/uom_data.json:None,setup,0
An Item Group is a way to classify items based on types.,,erpnext/setup/doctype/item_group/item_group.json:None,setup,0
Analyst,محلل,erpnext/setup/setup_wizard/data/designation.txt:4,setup,1
Apparel & Accessories,,erpnext/setup/setup_wizard/data/industry_type.txt:6,setup,0
Are,,erpnext/setup/setup_wizard/data/uom_data.json:None,setup,0
Arshin,,erpnext/setup/setup_wizard/data/uom_data.json:None,setup,0
Associate,مشارك,erpnext/setup/setup_wizard/data/designation.txt:5,setup,1
Atmosphere,,erpnext/setup/setup_wizard/data/uom_data.json:None,setup,0
Attendance & Leaves,الحضور والإجازات,erpnext/setup/doctype/employee/employee.json:None,setup,1
Auto Create Exchange Rate Revaluation,إنشاء إعادة تقييم سعر الصرف تلقائيا,erpnext/setup/doctype/company/company.json:None,setup,1
Automotive,,erpnext/setup/setup_wizard/data/industry_type.txt:7,setup,0
B+,,erpnext/setup/doctype/employee/employee.json:None,setup,0
B-,,erpnext/setup/doctype/employee/employee.json:None,setup,0
Barleycorn,,erpnext/setup/setup_wizard/data/uom_data.json:None,setup,0
Barrel (Oil),,erpnext/setup/setup_wizard/data/uom_data.json:None,setup,0
Barrel(Beer),,erpnext/setup/setup_wizard/data/uom_data.json:None,setup,0
"Based on your HR Policy, select your leave allocation period's end date",,erpnext/setup/doctype/holiday_list/holiday_list.js:60,setup,0
"Based on your HR Policy, select your leave allocation period's start date",,erpnext/setup/doctype/holiday_list/holiday_list.js:55,setup,0
Biot,,erpnext/setup/setup_wizard/data/uom_data.json:None,setup,0
Biotechnology,,erpnext/setup/setup_wizard/data/industry_type.txt:9,setup,0
Both Payable Account: {0} and Advance Account: {1} must be of same currency for company: {2},,erpnext/setup/doctype/supplier_group/supplier_group.py:57,setup,0
Both Receivable Account: {0} and Advance Account: {1} must be of same currency for company: {2},,erpnext/setup/doctype/customer_group/customer_group.py:62,setup,0
Box,صندوق,erpnext/setup/setup_wizard/data/uom_data.json:None,setup,1
Broadcasting,,erpnext/setup/setup_wizard/data/industry_type.txt:10,setup,0
Brokerage,,erpnext/setup/setup_wizard/data/industry_type.txt:11,setup,0
Btu (It),,erpnext/setup/setup_wizard/data/uom_data.json:None,setup,0
Btu (Mean),,erpnext/setup/setup_wizard/data/uom_data.json:None,setup,0
Btu (Th),,erpnext/setup/setup_wizard/data/uom_data.json:None,setup,0
Btu/Hour,,erpnext/setup/setup_wizard/data/uom_data.json:None,setup,0
Btu/Minutes,,erpnext/setup/setup_wizard/data/uom_data.json:None,setup,0
Btu/Seconds,,erpnext/setup/setup_wizard/data/uom_data.json:None,setup,0
Bushel (UK),,erpnext/setup/setup_wizard/data/uom_data.json:None,setup,0
Bushel (US Dry Level),,erpnext/setup/setup_wizard/data/uom_data.json:None,setup,0
Business Analyst,محلل أعمال,erpnext/setup/setup_wizard/data/designation.txt:6,setup,1
Business Development Manager,مدير تطوير الأعمال,erpnext/setup/setup_wizard/data/designation.txt:7,setup,1
Buying & Selling Settings,إعدادات الشراء والبيع,erpnext/setup/doctype/company/company.json:None,setup,1
Buying and Selling,الشراء والبيع,erpnext/setup/doctype/company/company.json:None,setup,1
Caballeria,,erpnext/setup/setup_wizard/data/uom_data.json:None,setup,0
Cable Length,,erpnext/setup/setup_wizard/data/uom_data.json:None,setup,0
Cable Length (UK),,erpnext/setup/setup_wizard/data/uom_data.json:None,setup,0
Cable Length (US),,erpnext/setup/setup_wizard/data/uom_data.json:None,setup,0
Calibre,,erpnext/setup/setup_wizard/data/uom_data.json:None,setup,0
Calorie (Food),,erpnext/setup/setup_wizard/data/uom_data.json:None,setup,0
Calorie (It),,erpnext/setup/setup_wizard/data/uom_data.json:None,setup,0
Calorie (Mean),,erpnext/setup/setup_wizard/data/uom_data.json:None,setup,0
Calorie (Th),,erpnext/setup/setup_wizard/data/uom_data.json:None,setup,0
Calorie/Seconds,,erpnext/setup/setup_wizard/data/uom_data.json:None,setup,0
Cannot Change Inventory Account Setting,لا يمكن تغيير إعداد حساب المخزون,erpnext/setup/doctype/company/company.py:217,setup,1
Cannot enqueue multi docs for one company. {0} is already queued/running for company: {1},,erpnext/setup/doctype/transaction_deletion_record/transaction_deletion_record.py:110,setup,0
Cannot make any transactions until the deletion job is completed,,erpnext/setup/doctype/transaction_deletion_record/transaction_deletion_record.py:516,setup,0
Carat,,erpnext/setup/setup_wizard/data/uom_data.json:None,setup,0
Carriage Paid To,,erpnext/setup/doctype/incoterm/incoterms.csv:6,setup,0
Carriage and Insurance Paid to,,erpnext/setup/doctype/incoterm/incoterms.csv:7,setup,0
Celsius,,erpnext/setup/setup_wizard/data/uom_data.json:None,setup,0
