source_text	translated_text	quorum_decision	decision_ref
'In Global Search' is not allowed for field {0} of type {1}	البحث الشامل غير مسموح للحقل {0} من النوع {1}	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
+ Add / Remove Fields	+ إضافة / إزالة الحقول	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
1 Report	تقرير واحد	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
<div class=\"alert\">Please don't update it as it can mess up your form. Use the Customize Form View and Custom Fields to set properties!</div>	EXCEPTION-technical	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
<div class=\"well\"> " "    Edit list of Series in the box. Rules: " "    <ul> " "        <li>Each Series Prefix on a new line.</li> " "        <li>Allowed special characters are \"/\" and \"-\"</li> " "        <li> " "            Optionally, set the number of digits in the series using dot (.) " "            followed by hashes (#). For example, \".####\" means that the series " "            will have four digits. Default is five digits. " "        </li> " "        <li> " "            You can also use variables in the series name by putting them " "            between (.) dots " "            <br> " "            Supported Variables: " "            <ul> " "                <li><code>.YYYY.</code> - Year in 4 digits</li> " "                <li><code>.YY.</code> - Year in 2 digits</li> " "                <li><code>.MM.</code> - Month</li> " "                <li><code>.DD.</code> - Day of month</li> " "                <li><code>.WW.</code> - Week of the year</li> " "                <li> " "                    <code>.{fieldname}.</code> - fieldname on the document e.g. " "                    <code>branch</code> " "                </li> " "                <li><code>.FY.</code> - Fiscal Year (requires ERPNext to be installed)</li> " "                <li><code>.ABBR.</code> - Company Abbreviation (requires ERPNext to be installed)</li> " "            </ul> " "        </li> " "    </ul> " "    Examples: " "    <ul> " "        <li>INV-</li> " "        <li>INV-10-</li> " "        <li>INVK-</li> " "        <li>INV-.YYYY.-.{branch}.-.MM.-.####</li> " "    </ul> " "</div> " "<br>	DEFERRED-unresolved-location	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
<h3>Custom CSS Help</h3>  " "<p>Notes:</p>  " "<ol> " "<li>All field groups (label + value) are set attributes <code>data-fieldtype</code> and <code>data-fieldname</code></li> " "<li>All values are given class <code>value</code></li> " "<li>All Section Breaks are given class <code>section-break</code></li> " "<li>All Column Breaks are given class <code>column-break</code></li> " "</ol>  " "<h4>Examples</h4>  " "<p>1. Left align integers</p>  " "<pre><code>[data-fieldtype=\"Int\"] .value { text-align: left; }</code></pre>  " "<p>1. Add border to sections except the last section</p>  " "<pre><code>.section-break { padding: 30px 0px; border-bottom: 1px solid #eee; } " ".section-break:last-child { padding-bottom: 0px; border-bottom: 0px;  }</code></pre>	DEFERRED-unresolved-location	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
<h3>Print Format Help</h3> " "<hr> " "<h4>Introduction</h4> " "<p>Print Formats are rendered on the server side using the Jinja Templating Language. All forms have access to the <code>doc</code> object which contains information about the document that is being formatted. You can also access common utilities via the <code>frappe</code> module.</p> " "<p>For styling, the Boostrap CSS framework is provided and you can enjoy the full range of classes.</p> " "<hr> " "<h4>References</h4> " "<ol> " "\t<li><a href=\"http://jinja.pocoo.org/docs/templates/\" target=\"_blank\">Jinja Templating Language</a></li> " "\t<li><a href=\"http://getbootstrap.com\" target=\"_blank\">Bootstrap CSS Framework</a></li> " "</ol> " "<hr> " "<h4>Example</h4> " "<pre><code>&lt;h3&gt;{{ doc.select_print_heading or \"Invoice\" }}&lt;/h3&gt; " "&lt;div class=\"row\"&gt; " "\t&lt;div class=\"col-md-3 text-right\"&gt;Customer Name&lt;/div&gt; " "\t&lt;div class=\"col-md-9\"&gt;{{ doc.customer_name }}&lt;/div&gt; " "&lt;/div&gt; " "&lt;div class=\"row\"&gt; " "\t&lt;div class=\"col-md-3 text-right\"&gt;Date&lt;/div&gt; " "\t&lt;div class=\"col-md-9\"&gt;{{ doc.get_formatted(\"invoice_date\") }}&lt;/div&gt; " "&lt;/div&gt; " "&lt;table class=\"table table-bordered\"&gt; " "\t&lt;tbody&gt; " "\t\t&lt;tr&gt; " "\t\t\t&lt;th&gt;Sr&lt;/th&gt; " "\t\t\t&lt;th&gt;Item Name&lt;/th&gt; " "\t\t\t&lt;th&gt;Description&lt;/th&gt; " "\t\t\t&lt;th class=\"text-right\"&gt;Qty&lt;/th&gt; " "\t\t\t&lt;th class=\"text-right\"&gt;Rate&lt;/th&gt; " "\t\t\t&lt;th class=\"text-right\"&gt;Amount&lt;/th&gt; " "\t\t&lt;/tr&gt; " "\t\t{%- for row in doc.items -%} " "\t\t&lt;tr&gt; " "\t\t\t&lt;td style=\"width: 3%;\"&gt;{{ row.idx }}&lt;/td&gt; " "\t\t\t&lt;td style=\"width: 20%;\"&gt; " "\t\t\t\t{{ row.item_name }} " "\t\t\t\t{% if row.item_code != row.item_name -%} " "\t\t\t\t&lt;br&gt;Item Code: {{ row.item_code}} " "\t\t\t\t{%- endif %} " "\t\t\t&lt;/td&gt; " "\t\t\t&lt;td style=\"width: 37%;\"&gt; " "\t\t\t\t&lt;div style=\"border: 0px;\"&gt;{{ row.description }}&lt;/div&gt;&lt;/td&gt; " "\t\t\t&lt;td style=\"width: 10%; text-align: right;\"&gt;{{ row.qty }} {{ row.uom or row.stock_uom }}&lt;/td&gt; " "\t\t\t&lt;td style=\"width: 15%; text-align: right;\"&gt;{{ " "\t\t\t\trow.get_formatted(\"rate\", doc) }}&lt;/td&gt; " "\t\t\t&lt;td style=\"width: 15%; text-align: right;\"&gt;{{ " "\t\t\t\trow.get_formatted(\"amount\", doc) }}&lt;/td&gt; " "\t\t&lt;/tr&gt; " "\t\t{%- endfor -%} " "\t&lt;/tbody&gt; " "&lt;/table&gt;</code></pre> " "<hr> " "<h4>Common Functions</h4> " "<table class=\"table table-bordered\"> " "\t<tbody> " "\t\t<tr> " "\t\t\t<td style=\"width: 30%;\"><code>doc.get_formatted(\"[fieldname]\", [parent_doc])</code></td> " "\t\t\t<td>Get document value formatted as Date, Currency, etc. Pass parent <code>doc</code> for currency type fields.</td> " "\t\t</tr> " "\t\t<tr> " "\t\t\t<td style=\"width: 30%;\"><code>frappe.db.get_value(\"[doctype]\", \"[name]\", \"fieldname\")</code></td> " "\t\t\t<td>Get value from another document.</td> " "\t\t</tr> " "\t</tbody> " "</table>	DEFERRED-unresolved-location	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
<p><strong>Condition Examples:</strong></p> " "<pre><code class=\"language-python\">doc.status==\"Open\"<br>doc.due_date==nowdate()<br>doc.total &gt; 40000 " "</code></pre>	DEFERRED-unresolved-location	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
<p><strong>Condition Examples:</strong></p> " "<pre>doc.status==\"Open\"<br>doc.due_date==nowdate()<br>doc.total &gt; 40000 " "</pre>	DEFERRED-unresolved-location	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
<p>Multiple webforms can be created for a single doctype. Add filters specific to this webform to display correct record after submission.</p><p>For Example:</p> " "<p>If you create a separate webform every year to capture feedback from employees add a  " " field named year in doctype and add a filter <b>year = 2023</b></p>	DEFERRED-unresolved-location	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
