Account Name,Parent Account,Account Number,Parent Account Number,Is Group,Account Type,Root Type,Account Currency
الأصول,,1000,,1,,Asset,
الأصول المتداولة,الأصول,1100,1000,1,,Asset,
النقدية بالصندوق,الأصول المتداولة,1110,1100,1,Cash,Asset,
النقدية بالصندوق - الرئيسي,النقدية بالصندوق,1111,1110,0,Cash,Asset,EGP
الحسابات البنكية,الأصول المتداولة,1120,1100,1,Bank,Asset,
البنك الرئيسي - EGP,الحسابات البنكية,1121,1120,0,Bank,Asset,EGP
بنك الرواتب - EGP,الحسابات البنكية,1122,1120,0,Bank,Asset,EGP
حساب بنكي للمشروعات - EGP,الحسابات البنكية,1123,1120,0,Bank,Asset,EGP
حسابات تسوية المدفوعات,الأصول المتداولة,1140,1100,0,,Asset,EGP
حسابات العملاء,الأصول,1200,1000,1,,Asset,
العملاء,حسابات العملاء,1210,1200,0,Receivable,Asset,EGP
مستخلصات عقود مستحقة,حسابات العملاء,1220,1200,0,Receivable,Asset,EGP
محتجزات ضمان لدى العملاء,حسابات العملاء,1230,1200,0,Receivable,Asset,EGP
أعمال منفذة غير مفوترة - Contract Asset,حسابات العملاء,1240,1200,0,Receivable,Asset,EGP
ذمم مدينة أخرى,حسابات العملاء,1250,1200,0,,Asset,EGP
سلف الموظفين,حسابات العملاء,1260,1200,0,,Asset,EGP
دفعات مقدمة للموردين,حسابات العملاء,1270,1200,0,,Asset,EGP
تأمينات وضمانات مستردة,حسابات العملاء,1280,1200,0,,Asset,EGP
المخزون - Stock Assets,الأصول المتداولة,1300,1100,1,Stock,Asset,
مواد إنشائية,المخزون - Stock Assets,1310,1300,0,Stock,Asset,EGP
مواد كهرباء وميكانيكا,المخزون - Stock Assets,1320,1300,0,Stock,Asset,EGP
مواد تشطيبات,المخزون - Stock Assets,1330,1300,0,Stock,Asset,EGP
وقود وزيوت,المخزون - Stock Assets,1340,1300,0,Stock,Asset,EGP
قطع غيار,المخزون - Stock Assets,1350,1300,0,Stock,Asset,EGP
أدوات ومهمات موقع,المخزون - Stock Assets,1360,1300,0,Stock,Asset,EGP
أعمال تحت التنفيذ - مخزون,المخزون - Stock Assets,1370,1300,0,Stock,Asset,EGP
مصروفات ومدفوعات مقدمة,الأصول المتداولة,1400,1100,1,,Asset,
مصروفات مقدمة,مصروفات ومدفوعات مقدمة,1410,1400,0,,Asset,EGP
دفعات مقدمة للموردين - مصروفات,مصروفات ومدفوعات مقدمة,1420,1400,0,,Asset,EGP
تأمينات وودائع,مصروفات ومدفوعات مقدمة,1430,1400,0,,Asset,EGP
مصروفات مؤجلة,مصروفات ومدفوعات مقدمة,1440,1400,0,,Asset,EGP
الأصول الضريبية - Tax Assets,الأصول المتداولة,1500,1100,1,Tax,Asset,
ضريبة القيمة المضافة - مدخلات,الأصول الضريبية - Tax Assets,1510,1500,0,Tax,Asset,EGP
ضريبة خصم وتحصيل مستردة,الأصول الضريبية - Tax Assets,1520,1500,0,Tax,Asset,EGP
الأصول الثابتة,الأصول,1600,1000,1,,Asset,
معدات مقاولات,الأصول الثابتة,1610,1600,0,Fixed Asset,Asset,EGP
معدات نقل,الأصول الثابتة,1620,1600,0,Fixed Asset,Asset,EGP
آلات ومعدات ميكانيكية,الأصول الثابتة,1630,1600,0,Fixed Asset,Asset,EGP
معدات وأجهزة كهربائية,الأصول الثابتة,1640,1600,0,Fixed Asset,Asset,EGP
أثاث وتجهيزات,الأصول الثابتة,1650,1600,0,Fixed Asset,Asset,EGP
معدات مكتبية وحاسب آلي,الأصول الثابتة,1660,1600,0,Fixed Asset,Asset,EGP
مباني,الأصول الثابتة,1670,1600,0,Fixed Asset,Asset,EGP
برامج وأنظمة,الأصول الثابتة,1680,1600,0,Fixed Asset,Asset,EGP
مجمع إهلاك الأصول الثابتة,الأصول الثابتة,1690,1600,0,Accumulated Depreciation,Asset,EGP
أعمال رأسمالية تحت التنفيذ - CWIP,الأصول الثابتة,1691,1600,0,Capital Work in Progress,Asset,EGP
استثمارات طويلة الأجل,الأصول,1700,1000,1,,Asset,
استثمارات مالية طويلة الأجل,استثمارات طويلة الأجل,1710,1700,0,,Asset,EGP
حسابات مؤقتة,الأصول,1800,1000,1,,Asset,
حساب افتتاحي مؤقت - Temporary Opening,حسابات مؤقتة,1810,1800,0,Temporary,Asset,EGP
الخصوم,,2000,,1,,Liability,
الخصوم المتداولة,الخصوم,2100,2000,1,,Liability,
الموردون,الخصوم المتداولة,2110,2100,0,Payable,Liability,EGP
مرتبات وأجور مستحقة,الخصوم المتداولة,2120,2100,0,,Liability,EGP
دفعات مقدمة من العملاء - Contract Liabilities,الخصوم المتداولة,2130,2100,0,,Liability,EGP
محتجزات ضمان للمقاولين,الخصوم المتداولة,2140,2100,0,,Liability,EGP
مصروفات مستحقة,الخصوم المتداولة,2150,2100,0,,Liability,EGP
خدمات مستلمة غير مفوترة - Service Received But Not Billed,الخصوم المتداولة,2160,2100,0,Service Received But Not Billed,Liability,EGP
التزامات متداولة أخرى,الخصوم المتداولة,2170,2100,0,,Liability,EGP
التزامات المخزون - Stock Liabilities,الخصوم المتداولة,2200,2100,1,,Liability,
مخزون مستلم غير مفوتر - Stock Received But Not Billed,التزامات المخزون - Stock Liabilities,2210,2200,0,Stock Received But Not Billed,Liability,EGP
أصول مستلمة غير مفوترة - Asset Received But Not Billed,التزامات المخزون - Stock Liabilities,2211,2200,0,Asset Received But Not Billed,Liability,EGP
الضرائب والرسوم المستحقة - Duties and Taxes,الخصوم المتداولة,2300,2100,1,Tax,Liability,
ضريبة القيمة المضافة - مخرجات,الضرائب والرسوم المستحقة - Duties and Taxes,2310,2300,0,Tax,Liability,EGP
ضريبة الخصم والتحصيل المستحقة,الضرائب والرسوم المستحقة - Duties and Taxes,2320,2300,0,Tax,Liability,EGP
ضريبة دخل الشركات المستحقة,الضرائب والرسوم المستحقة - Duties and Taxes,2330,2300,0,Tax,Liability,EGP
تأمينات اجتماعية مستحقة,الضرائب والرسوم المستحقة - Duties and Taxes,2340,2300,0,Payable,Liability,EGP
ضرائب ورسوم أخرى مستحقة,الضرائب والرسوم المستحقة - Duties and Taxes,2350,2300,0,Tax,Liability,EGP
قروض والتزامات تمويلية,الخصوم المتداولة,2400,2100,1,,Liability,
قروض بنكية طويلة الأجل,قروض والتزامات تمويلية,2410,2400,0,,Liability,EGP
قروض قصيرة الأجل,قروض والتزامات تمويلية,2420,2400,0,,Liability,EGP
سحب على المكشوف,قروض والتزامات تمويلية,2430,2400,0,,Liability,EGP
خصوم غير متداولة,الخصوم,2500,2000,1,,Liability,
مخصصات طويلة الأجل,خصوم غير متداولة,2510,2500,0,,Liability,EGP
التزامات مزايا الموظفين,خصوم غير متداولة,2520,2500,0,,Liability,EGP
خصوم غير متداولة أخرى,خصوم غير متداولة,2530,2500,0,,Liability,EGP
إيرادات مؤجلة,الخصوم,2600,2000,1,,Liability,
إيرادات عقود مؤجلة,إيرادات مؤجلة,2610,2600,0,,Liability,EGP
حقوق الملكية,,3000,,1,,Equity,
رأس المال,حقوق الملكية,3100,3000,0,Equity,Equity,EGP
احتياطيات,حقوق الملكية,3200,3000,0,Equity,Equity,EGP
حساب افتتاحي لحقوق الملكية - Opening Balance Equity,حقوق الملكية,3300,3000,0,Equity,Equity,EGP
أرباح محتجزة,حقوق الملكية,3400,3000,0,Equity,Equity,EGP
توزيعات أرباح,حقوق الملكية,3500,3000,0,Equity,Equity,EGP
فائض إعادة تقييم,حقوق الملكية,3600,3000,0,Equity,Equity,EGP
الإيرادات,,4000,,1,,Income,
إيرادات العقود,الإيرادات,4100,4000,1,,Income,
