app,msgid,context,locations,comments,ct_app,po_translation,runtime_translation,effective_translation,proposed_translation,domain,priority,a1_status,a1_reviewer,a1_notes,a2_status,a2_reviewer,a2_notes,a3_status,a3_reviewer,a3_notes,qa_flags,cross_app_conflict,release_status,references
erpnext,Employee Group Table,,,,erpnext,جدول مجموعة الموظفين,,جدول مجموعة الموظفين,,labor,pending,,,,,,,,,,,,Approved,
erpnext,Employee ID,,,,erpnext,هوية الموظف,,هوية الموظف,,labor,pending,,,,,,,,,,,,Approved,
erpnext,From Employee is required while issuing Asset {0},,,,erpnext,,,,,labor,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,"Setting Events to {0}, since the Employee attached to the below Sales Persons does not have a User ID{1}",,,,erpnext,وضع الأحداث إلى {0}، لأن الموظف المرفقة أدناه الأشخاص المبيعات لايوجد هوية المستخدم {1},,وضع الأحداث إلى {0}، لأن الموظف المرفقة أدناه الأشخاص المبيعات لايوجد هوية المستخدم {1},,labor,pending,,,,,,,,,,,,Approved,
erpnext,Employee Group,,,,erpnext,مجموعة الموظفين,,مجموعة الموظفين,,labor,pending,,,,,,,,,,,,Approved,
erpnext,Employee cannot report to himself.,,,,erpnext,الموظف لا يمكن أن يقدم تقريرا إلى نفسه.\n<br>\nEmployee cannot report to himself.,,الموظف لا يمكن أن يقدم تقريرا إلى نفسه.\n<br>\nEmployee cannot report to himself.,,labor,pending,,,,,,,,,,html_imbalance,,Approved,
erpnext,Employee,,,,erpnext,الموظف,الموظف,الموظف,,labor,pending,,,,,,,,,,,,Approved,
erpnext,Select Date of Birth. This will validate Employees age and prevent hiring of under-age staff.,,,,erpnext,,,,,labor,missing,,,,,,,,,,,,Pending,
erpnext,New Employee,,,,erpnext,موظف جديد,,موظف جديد,,labor,pending,,,,,,,,,,,,Approved,
frappe,"If you are uploading new records, leave the ""name"" (ID) column blank.",,,,frappe,"إذا كنت تحميل سجلات جديدة، وترك ""اسم"" (ID) العمود فارغا.",,"إذا كنت تحميل سجلات جديدة، وترك ""اسم"" (ID) العمود فارغا.",,labor,pending,,,,,,,,,,,,Approved,
erpnext,Employee User Id,,,,erpnext,,معرف مستخدم الموظف,معرف مستخدم الموظف,,labor,missing,,,,,,,,,,,,Pending,
erpnext,All Employee (Active),,,,erpnext,جميع الموظفين (نشط),,جميع الموظفين (نشط),,labor,pending,,,,,,,,,,,,Approved,
erpnext,Salary Currency,,,,erpnext,,عملة الراتب,عملة الراتب,,labor,missing,,,,,,,,,,,,Pending,
erpnext,This will restrict user access to other employee records,,,,erpnext,سيؤدي هذا إلى تقييد وصول المستخدم لسجلات الموظفين الأخرى,,سيؤدي هذا إلى تقييد وصول المستخدم لسجلات الموظفين الأخرى,,labor,pending,,,,,,,,,,,,Approved,
erpnext,"Leave blank for home.
This is relative to site URL, for example ""about"" will redirect to ""https://yoursitename.com/about""",,,,erpnext,,,,,labor,missing,,,,,,,,,,,,Pending,
frappe,Link to the page you want to open. Leave blank if you want to make it a group parent.,,,,frappe,الرابط إلى الصفحة التي تريد فتحها. اتركه فارغا إذا كنت تريد أن تجعل من أحد الوالدين المجموعة.,,الرابط إلى الصفحة التي تريد فتحها. اتركه فارغا إذا كنت تريد أن تجعل من أحد الوالدين المجموعة.,,labor,pending,,,,,,,,,,,,Approved,
erpnext,Select Employees,,,,erpnext,حدد الموظفين,,حدد الموظفين,,labor,pending,,,,,,,,,,,,Approved,
erpnext,Please set a default Holiday List for Employee {0} or Company {1},,,,erpnext,يرجى تعيين قائمة العطل الافتراضية للموظف {0} أو الشركة {1}\n<br>\nPlease set a default Holiday List for Employee {0} or Company {1},,يرجى تعيين قائمة العطل الافتراضية للموظف {0} أو الشركة {1}\n<br>\nPlease set a default Holiday List for Employee {0} or Company {1},,labor,pending,,,,,,,,,,html_imbalance,,Approved,
erpnext,From Employee,,,,erpnext,,من الموظف,من الموظف,,labor,missing,,,,,,,,,,,,Pending,
erpnext,Employee Internal Work History,,,,erpnext,سجل عمل الموظف داخل الشركة,,سجل عمل الموظف داخل الشركة,,labor,pending,,,,,,,,,,,,Approved,
erpnext,No employee was scheduled for call popup,,,,erpnext,,,,,labor,missing,,,,,,,,,,,,Pending,
erpnext,Employee {0} is currently working on another workstation. Please assign another employee.,,,,erpnext,,,,,labor,missing,,,,,,,,,,placeholder_mismatch,,Pending,
frappe,{0}/{1} complete | Please leave this tab open until completion.,,,,frappe,{0}/{1} مكتمل | يرجى ترك علامة التبويب هذه مفتوحة حتى الانتهاء.,,{0}/{1} مكتمل | يرجى ترك علامة التبويب هذه مفتوحة حتى الانتهاء.,,labor,pending,,,,,,,,,,,,Approved,
erpnext,Asset received at Location {0} and issued to Employee {1},,,,erpnext,,,,,labor,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Another Sales Person {0} exists with the same Employee id,,,,erpnext,مندوب مبيعات آخر {0} موجود بنفس رقم هوية الموظف,,مندوب مبيعات آخر {0} موجود بنفس رقم هوية الموظف,,labor,pending,,,,,,,,,,,,Approved,
erpnext,Salary Mode,,,,erpnext,طريقة تحصيل الراتب,,طريقة تحصيل الراتب,,labor,pending,,,,,,,,,,,,Approved,
erpnext,Please make sure the employees above report to another Active employee.,,,,erpnext,يرجى التأكد من أن الموظفين أعلاه يقدمون تقارير إلى موظف نشط آخر.,,يرجى التأكد من أن الموظفين أعلاه يقدمون تقارير إلى موظف نشط آخر.,,labor,pending,,,,,,,,,,,,Approved,
frappe,Leave blank to repeat always,,,,frappe,اتركه فارغ لتكرار دائما,,اتركه فارغ لتكرار دائما,,labor,pending,,,,,,,,,,,,Approved,
erpnext,Add Employees,,,,erpnext,إضافة موظفين,,إضافة موظفين,,labor,pending,,,,,,,,,,,,Approved,
erpnext,User {0}: Removed Employee role as there is no mapped employee.,,,,erpnext,,,,,labor,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Employee Number,,,,erpnext,,رقم الموظف,رقم الموظف,,labor,missing,,,,,,,,,,,,Pending,
erpnext,Payroll Payable,,,,erpnext,رواتب واجبة الدفع,,رواتب واجبة الدفع,,labor,pending,,,,,,,,,,,,Approved,
erpnext,The following employees are currently still reporting to {0}:,,,,erpnext,لا يزال الموظفون التالي ذكرهم يتبعون حاليًا {0}:,,لا يزال الموظفون التالي ذكرهم يتبعون حاليًا {0}:,,labor,pending,,,,,,,,,,,,Approved,
erpnext,"Based on your HR Policy, select your leave allocation period's end date",,,,erpnext,,,,,labor,missing,,,,,,,,,,,,Pending,
erpnext,No of Employees,,,,erpnext,,,,,labor,missing,,,,,,,,,,,,Pending,
erpnext,User {0}: Removed Employee Self Service role as there is no mapped employee.,,,,erpnext,,,,,labor,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Employee Name,,,,erpnext,اسم الموظف,,اسم الموظف,,labor,pending,,,,,,,,,,,,Approved,
erpnext,User ID not set for Employee {0},,,,erpnext,هوية المستخدم لم يتم تعيين موظف ل {0},,هوية المستخدم لم يتم تعيين موظف ل {0},,labor,pending,,,,,,,,,,,,Approved,
erpnext,To Employee,,,,erpnext,إلى الموظف,,إلى الموظف,,labor,pending,,,,,,,,,,,,Approved,
erpnext,Employee Education,,,,erpnext,المستوى التعليمي للموظف,,المستوى التعليمي للموظف,,labor,pending,,,,,,,,,,,,Approved,
erpnext,Attendance & Leaves,,,,erpnext,,الحضور والإجازات,الحضور والإجازات,,labor,missing,,,,,,,,,,,,Pending,
erpnext,Leave Encashed?,,,,erpnext,إجازات مصروفة نقداً؟,,إجازات مصروفة نقداً؟,,labor,pending,,,,,,,,,,,,Approved,
erpnext,Notify Employee,,,,erpnext,إعلام الموظف,,إعلام الموظف,,labor,pending,,,,,,,,,,,,Approved,
erpnext,Employee Detail,,,,erpnext,تفاصيل الموظف,,تفاصيل الموظف,,labor,pending,,,,,,,,,,,,Approved,
erpnext,Attendance Device ID (Biometric/RF tag ID),,,,erpnext,معرف جهاز الحضور (معرف بطاقة الهوية / RF),,معرف جهاز الحضور (معرف بطاقة الهوية / RF),,labor,pending,,,,,,,,,,,,Approved,
erpnext,Select a Company this Employee belongs to.,,,,erpnext,,حدد الشركة التي ينتمي إليها هذا الموظف.,حدد الشركة التي ينتمي إليها هذا الموظف.,,labor,missing,,,,,,,,,,,,Pending,
erpnext,Employee External Work History,,,,erpnext,سجل عمل الموظف خارج الشركة,,سجل عمل الموظف خارج الشركة,,labor,pending,,,,,,,,,,,,Approved,
erpnext,Payroll Entry,,,,erpnext,,قيد الرواتب,قيد الرواتب,,labor,missing,,,,,,,,,,,,Pending,
erpnext,Please enter Employee Id of this sales person,,,,erpnext,الرجاء إدخال معرف الموظف الخاص بشخص المبيعات هذا,,الرجاء إدخال معرف الموظف الخاص بشخص المبيعات هذا,,labor,pending,,,,,,,,,,,,Approved,
erpnext,Employee {0} does not belong to the company {1},,,,erpnext,,,,,labor,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,User {0} is already assigned to Employee {1},,,,erpnext,المستخدم {0} تم تعيينه بالفعل إلى موظف {1},,المستخدم {0} تم تعيينه بالفعل إلى موظف {1},,labor,pending,,,,,,,,,,,,Approved,
erpnext,Applicable To (Employee),,,,erpnext,قابلة للتطبيق على (الموظف),,قابلة للتطبيق على (الموظف),,labor,pending,,,,,,,,,,,,Approved,
erpnext,Cannot Relieve Employee,,,,erpnext,لا يمكن إعفاء الموظف,,لا يمكن إعفاء الموظف,,labor,pending,,,,,,,,,,,,Approved,
erpnext,Activity Cost per Employee,,,,erpnext,تكلفة النشاط لكل موظف,,تكلفة النشاط لكل موظف,,labor,pending,,,,,,,,,,,,Approved,
erpnext,Asset issued to Employee {0},,,,erpnext,,,,,labor,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Employees,,,,erpnext,,الموظفون,الموظفون,,labor,missing,,,,,,,,,,,,Pending,
erpnext,Employee ,,,,erpnext,موظف,,موظف,,labor,pending,,,,,,,,,,whitespace,,Approved,
erpnext,Name and Employee ID,,,,erpnext,الاسم والرقم الوظيفي,,الاسم والرقم الوظيفي,,labor,pending,,,,,,,,,,,,Approved,
erpnext,No. of Employees,,,,erpnext,,عدد الموظفين,عدد الموظفين,,labor,missing,,,,,,,,,,,,Pending,
erpnext,"Select Date of joining. It will have impact on the first salary calculation, Leave allocation on pro-rata bases.",,,,erpnext,,,,,labor,missing,,,,,,,,,,,,Pending,
erpnext,Ignore Employee Time Overlap,,,,erpnext,تجاهل تداخل وقت الموظف,,تجاهل تداخل وقت الموظف,,labor,pending,,,,,,,,,,,,Approved,
erpnext,Allow Overtime,,,,erpnext,تسمح العمل الإضافي,,تسمح العمل الإضافي,,labor,pending,,,,,,,,,,,,Approved,
erpnext,Employee Benefits Obligation,,,,erpnext,,التزام مزايا الموظفين,التزام مزايا الموظفين,,labor,missing,,,,,,,,,,,,Pending,
erpnext,Employee is required while issuing Asset {0},,,,erpnext,الموظف مطلوب أثناء إصدار الأصول {0},,الموظف مطلوب أثناء إصدار الأصول {0},,labor,pending,,,,,,,,,,,,Approved,
erpnext,Activity Cost exists for Employee {0} against Activity Type - {1},,,,erpnext,تكلفة النشاط موجودة للموظف {0} مقابل نوع النشاط - {1},,تكلفة النشاط موجودة للموظف {0} مقابل نوع النشاط - {1},,labor,pending,,,,,,,,,,,,Approved,
frappe,Leave this conversation,,,,frappe,ترك هذه المحادثة,,ترك هذه المحادثة,,labor,pending,,,,,,,,,,,,Approved,
erpnext,Salary,,,,erpnext,الراتب,راتب,راتب,,labor,pending,,,,,,,,,,,,Approved,
erpnext,Assign Job to Employee,,,,erpnext,,إسناد العمل إلى موظف,إسناد العمل إلى موظف,,labor,missing,,,,,,,,,,,,Pending,
erpnext,"Based on your HR Policy, select your leave allocation period's start date",,,,erpnext,,,,,labor,missing,,,,,,,,,,,,Pending,
erpnext,Employee Exit,,,,erpnext,,خروج الموظف,خروج الموظف,,labor,missing,,,,,,,,,,,,Pending,
erpnext,Leave blank if the Supplier is blocked indefinitely,,,,erpnext,اتركه فارغًا إذا تم حظر المورد إلى أجل غير مسمى,,اتركه فارغًا إذا تم حظر المورد إلى أجل غير مسمى,,labor,pending,,,,,,,,,,,,Approved,
erpnext,Leave blank to use the standard Delivery Note format,,,,erpnext,اتركه فارغًا لاستخدام تنسيق &quot;ملاحظة التسليم&quot; القياسي,,اتركه فارغًا لاستخدام تنسيق &quot;ملاحظة التسليم&quot; القياسي,,labor,pending,,,,,,,,,,,,Approved,
