source_text,translated_text,quorum_decision,disposition_rationale,decision_ref,proposal_sha256
"Row #{0}: Source, Target Warehouse and Inventory Dimensions cannot be the exact same for Material Transfer",الصف رقم {0}: لا يجوز أن يكون مستودع المصدر والوجهة وأبعاد المخزون متطابقة تمامًا عند نقل المواد,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum.,stage6-W6-3 batch-03 owner-approved 2026-09-24,0b9f7a86923b4c53fbf65dfa3d7b6bfbed2518fbfbbf5dedd2012c414bcb8025
Row #{0}: Status is mandatory,الصف رقم {0}: الحالة مطلوبة,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum.,stage6-W6-3 batch-03 owner-approved 2026-09-24,0b9f7a86923b4c53fbf65dfa3d7b6bfbed2518fbfbbf5dedd2012c414bcb8025
Row #{0}: Stock cannot be reserved for Item {1} against a disabled Batch {2}.,الصف رقم {0}: لا يمكن حجز مخزون الصنف {1} على الدفعة المعطلة {2}.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum.,stage6-W6-3 batch-03 owner-approved 2026-09-24,0b9f7a86923b4c53fbf65dfa3d7b6bfbed2518fbfbbf5dedd2012c414bcb8025
Row #{0}: Stock cannot be reserved for a non-stock Item {1},الصف رقم {0}: لا يمكن حجز مخزون لصنف غير مخزني {1},quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum.,stage6-W6-3 batch-03 owner-approved 2026-09-24,0b9f7a86923b4c53fbf65dfa3d7b6bfbed2518fbfbbf5dedd2012c414bcb8025
Row #{0}: Stock cannot be reserved in group warehouse {1}.,الصف رقم {0}: لا يمكن حجز المخزون في المستودع التجميعي {1}.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum.,stage6-W6-3 batch-03 owner-approved 2026-09-24,0b9f7a86923b4c53fbf65dfa3d7b6bfbed2518fbfbbf5dedd2012c414bcb8025
Row #{0}: Stock is already reserved for the Item {1}.,الصف رقم {0}: المخزون محجوز بالفعل للصنف {1}.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum.,stage6-W6-3 batch-03 owner-approved 2026-09-24,0b9f7a86923b4c53fbf65dfa3d7b6bfbed2518fbfbbf5dedd2012c414bcb8025
Row #{0}: Stock is reserved for item {1} in warehouse {2}.,الصف رقم {0}: المخزون محجوز للصنف {1} في المستودع {2}.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum.,stage6-W6-3 batch-03 owner-approved 2026-09-24,0b9f7a86923b4c53fbf65dfa3d7b6bfbed2518fbfbbf5dedd2012c414bcb8025
Row #{0}: Stock not available to reserve for Item {1} against Batch {2} in Warehouse {3}.,الصف رقم {0}: لا يتوفر مخزون لحجز الصنف {1} على الدفعة {2} في المستودع {3}.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum.,stage6-W6-3 batch-03 owner-approved 2026-09-24,0b9f7a86923b4c53fbf65dfa3d7b6bfbed2518fbfbbf5dedd2012c414bcb8025
Row #{0}: Stock not available to reserve for the Item {1} in Warehouse {2}.,الصف رقم {0}: لا يتوفر مخزون لحجز الصنف {1} في المستودع {2}.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum.,stage6-W6-3 batch-03 owner-approved 2026-09-24,0b9f7a86923b4c53fbf65dfa3d7b6bfbed2518fbfbbf5dedd2012c414bcb8025
Row #{0}: The warehouse {1} is not a child warehouse of a group warehouse {2},الصف رقم {0}: المستودع {1} ليس مستودعًا فرعيًا للمستودع التجميعي {2},quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum.,stage6-W6-3 batch-03 owner-approved 2026-09-24,0b9f7a86923b4c53fbf65dfa3d7b6bfbed2518fbfbbf5dedd2012c414bcb8025
