source_text,proposed_ar,proposed_disposition,disposition_rationale,decision_ref,locations
Incompatible Setting Detected,تم اكتشاف إعداد غير متوافق,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/stock_settings/stock_settings.js:68
Incorrect Balance Qty After Transaction,كمية الرصيد غير الصحيحة بعد المعاملة,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/report/incorrect_balance_qty_after_transaction/incorrect_balance_qty_after_transaction.json:None
Incorrect Check in (group) Warehouse for Reorder,مستودع المجموعة المحدد لإعادة الطلب غير صحيح,PROPOSED-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/item/item.py:532
Incorrect Component Quantity,كمية المكوّن غير صحيحة,PROPOSED-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/stock_entry/stock_entry.py:935
Incorrect Invoice,فاتورة غير صحيحة,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.py:135
Incorrect Reference Document (Purchase Receipt Item),مستند مرجعي غير صحيح (صنف سند استلام الشراء),PROPOSED-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.py:108
Incorrect Serial No Valuation,تقييم الرقم التسلسلي غير الصحيح,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/report/incorrect_serial_no_valuation/incorrect_serial_no_valuation.json:None
Incorrect Serial and Batch Bundle,مجموعة التسلسل والدفعة غير الصحيحة,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/report/incorrect_serial_and_batch_bundle/incorrect_serial_and_batch_bundle.json:None
Incorrect Stock Value Report,تقرير قيمة المخزون غير الصحيحة,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/report/incorrect_stock_value_report/incorrect_stock_value_report.json:None
Incorrect Type of Transaction,نوع المعاملة غير صحيح,PROPOSED-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/serial_batch_bundle.py:136
Individual Stock Ledger Entry cannot be cancelled.,لا يمكن إلغاء قيد فردي في دفتر الأستاذ المخزني.,PROPOSED-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/stock_ledger_entry/stock_ledger_entry.py:347
Insufficient Capacity,سعة غير كافية,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/putaway_rule/putaway_rule.py:82; erpnext/stock/doctype/putaway_rule/putaway_rule.py:325
Insufficient Stock for Batch,مخزون غير كاف للدفعة,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/stock_ledger.py:2217
Invalid Document,مستند غير صالح,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.py:122
Invalid Formula,صيغة غير صالحة,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/quality_inspection/quality_inspection.py:319; erpnext/stock/doctype/quality_inspection/quality_inspection.py:324
Invalid Item Defaults,الإعدادات الافتراضية للصنف غير صالحة,PROPOSED-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/item/item.py:1408
Invalid Priority,أولوية غير صالحة,PROPOSED-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/putaway_rule/putaway_rule.py:61
Invalid Query,استعلام غير صالح,PROPOSED-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.py:435
Invalid Serial and Batch Bundle,حزمة الأرقام التسلسلية والدفعات غير صالحة,PROPOSED-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/stock_entry/stock_entry.py:1669
Invalid Source and Target Warehouse,مستودعا المصدر والوجهة غير صالحين,PROPOSED-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/stock_entry/stock_entry.py:969; erpnext/stock/doctype/stock_entry/stock_entry.py:991
Invalid Warehouse,مستودع غير صالح,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/putaway_rule/putaway_rule.py:70; erpnext/stock/doctype/stock_reservation_entry/stock_reservation_entry.py:256
Invalid search query,استعلام البحث غير صالح,PROPOSED-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.py:435
Inventory Account Currency,عملة حساب المخزون,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/item_default/item_default.json:None
Inventory Dimension Negative Stock,مخزون سالب لبُعد المخزون,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/stock_ledger_entry/stock_ledger_entry.py:160
Inventory Dimension key,مفتاح بُعد المخزون,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/stock_closing_balance/stock_closing_balance.json:None
Inventory Settings,إعدادات المخزون,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/item/item.json:None
Is Additional Transfer Entry,قيد نقل إضافي,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/stock_entry/stock_entry.json:None
Is Adjustment Entry,قيد تسوية,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/stock_ledger_entry/stock_ledger_entry.json:None
Is Finished Item,صنف نهائي,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/stock_entry_detail/stock_entry_detail.json:None
Is Group Warehouse,مستودع مجموعة,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/warehouse/warehouse.json:None
Is Outward,صادر,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/serial_and_batch_entry/serial_and_batch_entry.json:None
Is Packed,معبأ,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/serial_and_batch_bundle/serial_and_batch_bundle.json:None
Is Rejected,مرفوض,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/serial_and_batch_bundle/serial_and_batch_bundle.json:None
Is Rejected Warehouse,مستودع مرفوضات,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/warehouse/warehouse.json:None
Is Scrap Item,صنف هالك,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/stock_entry_detail/stock_entry_detail.json:None; erpnext/subcontracting/doctype/subcontracting_receipt_item/subcontracting_receipt_item.json:None
Is Subcontracted Item,بند منفذ من الباطن,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/item/item.json:None
It can take upto few hours for accurate stock values to be visible after merging items.,قد يستغرق ظهور قيم المخزون الدقيقة بضع ساعات بعد دمج الأصناف.,PROPOSED-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/item/item.py:589
Item Information,معلومات الصنف,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/stock_reservation_entry/stock_reservation_entry.json:None
"Item Price appears multiple times based on Price List, Supplier/Customer, Currency, Item, Batch, UOM, Qty, and Dates.",قد يظهر سعر الصنف عدة مرات بحسب قائمة الأسعار والمورد/العميل والعملة والصنف والدفعة ووحدة القياس والكمية والتواريخ.,PROPOSED-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/item_price/item_price.py:140
Item Warehouse based reposting has been enabled.,تم تفعيل إعادة الترحيل بحسب الصنف والمستودع.,PROPOSED-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/stock_reposting_settings/stock_reposting_settings.py:85
Item rate has been updated to zero as Allow Zero Valuation Rate is checked for item {0},تم تحديث سعر تقييم الصنف إلى صفر لأن خيار السماح بسعر تقييم صفري محدد للصنف {0},PROPOSED-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/stock_entry/stock_entry.py:1074
Item valuation rate is recalculated considering landed cost voucher amount,أُعيد احتساب سعر تقييم الصنف مع مراعاة مبلغ سند تكاليف الوصول,PROPOSED-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.js:9
Item valuation reposting in progress. Report might show incorrect item valuation.,جارٍ إعادة ترحيل تقييم الصنف. قد يعرض التقرير تقييمًا غير صحيح للصنف.,PROPOSED-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/utils.py:559
Item {0} is already reserved/delivered against Sales Order {1}.,الصنف {0} محجوز أو تم تسليمه بالفعل مقابل أمر البيع {1}.,PROPOSED-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/stock_reservation_entry/stock_reservation_entry.py:608
Item {0} must be a Non-Stock Item,يجب أن يكون الصنف {0} غير مخزني,PROPOSED-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/get_item_details.py:347
Item {0} not found in 'Raw Materials Supplied' table in {1} {2},لم يتم العثور على الصنف {0} في جدول 'المواد الخام الموردة' ضمن {1} {2},PROPOSED-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/stock_entry/stock_entry.py:1407
Item {0} not found.,لم يتم العثور على الصنف {0}.,PROPOSED-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/item_price/item_price.py:56
Item {} does not exist.,الصنف {} غير موجود.,PROPOSED-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py:1434
Item/Item Code required to get Item Tax Template.,يلزم تحديد الصنف/رمز الصنف للحصول على قالب ضريبة الصنف.,PROPOSED-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/get_item_details.py:714
Items Catalogue,كتالوج الأصناف,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/workspace/stock/stock.json:None
Items rate has been updated to zero as Allow Zero Valuation Rate is checked for the following items: {0},تم تحديث أسعار تقييم الأصناف التالية إلى صفر لأن خيار السماح بسعر تقييم صفري محدد لها: {0},PROPOSED-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/stock_entry/stock_entry.py:1070
Items to Be Repost,الأصناف المطلوب إعادة ترحيلها,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/repost_item_valuation/repost_item_valuation.json:None
JAN,,EXCEPTION-technical,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/item_barcode/item_barcode.json:None
Landed Cost,التكلفة الإضافية,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.json:None
Landed Cost Id,معرف التكلفة الإضافية,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/report/landed_cost_report/landed_cost_report.py:18
Landed Cost Report,تقرير التكلفة الإضافية,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/report/landed_cost_report/landed_cost_report.json:None
Landed Cost Vendor Invoice,فاتورة مورد التكلفة الإضافية,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/landed_cost_vendor_invoice/landed_cost_vendor_invoice.json:None
"Last Name, Email or Phone/Mobile of the user are mandatory to continue.",يلزم إدخال اسم العائلة والبريد الإلكتروني أو رقم الهاتف/الجوال للمستخدم للمتابعة.,PROPOSED-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/shipment/shipment.js:275
Learn Inventory Management,تعلّم إدارة المخزون,PROPOSED-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/workspace/stock/stock.json:None
Length (cm),الطول (سم),preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/shipment_parcel/shipment_parcel.json:None; erpnext/stock/doctype/shipment_parcel_template/shipment_parcel_template.json:None
Limit timeslot for Stock Reposting,حدّد الفترة الزمنية لإعادة ترحيل المخزون,PROPOSED-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/stock_reposting_settings/stock_reposting_settings.json:None
Limits don't apply on,لا تنطبق الحدود على,PROPOSED-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/stock_reposting_settings/stock_reposting_settings.json:None
Linked with submitted documents,مرتبط بمستندات مُقدَّمة,PROPOSED-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/item/item.py:997
Locked,مقفل,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/delivery_stop/delivery_stop.json:None
Log the selling and buying rate of an Item,سجّل سعر بيع وشراء الصنف,PROPOSED-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/item_price/item_price.json:None
Make Lead Time,إنشاء مدة التوريد,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/item/item.js:584
