source_text,suggested_ar,locations,area,has_pre_filled
 Summary,,erpnext/projects/doctype/project_update/project_update.py:104,projects,0
% Amount Billed,نسبة المبلغ المفوتر,erpnext/projects/doctype/timesheet/timesheet.json:None; erpnext/selling/doctype/sales_order/sales_order.json:None; erpnext/stock/doctype/delivery_note/delivery_note.json:None; erpnext/stock/doctype/purchase_receipt/purchase_receipt.json:None,projects,1
% Complete Method,طريقة نسبة الإنجاز,erpnext/projects/doctype/project/project.json:None,projects,1
% Completed,نسبة الإنجاز,erpnext/projects/doctype/project/project.json:None,projects,1
% Progress,نسبة التقدم,erpnext/projects/doctype/task/task.json:None,projects,1
Average Completion,متوسط الإنجاز,erpnext/projects/report/project_summary/project_summary.py:124,projects,1
Base Total Billable Amount,إجمالي المبلغ القابل للفوترة الأساسي,erpnext/projects/doctype/timesheet/timesheet.json:None,projects,1
Base Total Billed Amount,إجمالي المبلغ المفوتر الأساسي,erpnext/projects/doctype/timesheet/timesheet.json:None,projects,1
Base Total Costing Amount,إجمالي مبلغ التكلفة الأساسي,erpnext/projects/doctype/timesheet/timesheet.json:None,projects,1
Begin On (Days),يبدأ بعد (أيام),erpnext/projects/doctype/task/task.json:None,projects,1
Cannot complete task {0} as its dependant task {1} are not completed / cancelled.,,erpnext/projects/doctype/task/task.py:145,projects,0
Cannot convert Task to non-group because the following child Tasks exist: {0}.,,erpnext/projects/doctype/task/task.js:49,projects,0
Circular Reference Error,خطأ مرجع دائري,erpnext/projects/doctype/task/task.py:260,projects,1
Completed On,اكتمل في,erpnext/projects/doctype/task/task.json:None,projects,1
Completed On cannot be greater than Today,لا يمكن أن يكون تاريخ الإكمال بعد اليوم,erpnext/projects/doctype/task/task.py:185,projects,1
Completed Projects,المشاريع المكتملة,erpnext/projects/workspace/projects/projects.json:None,projects,1
Completed Tasks,المهام المكتملة,erpnext/projects/report/project_summary/project_summary.py:136; erpnext/public/js/templates/crm_activities.html:64,projects,1
Costing and Billing fields has been updated,,erpnext/projects/doctype/project/project.js:140,projects,0
Daily Time to send,وقت الإرسال اليومي,erpnext/projects/doctype/project/project.json:None,projects,1
