source_text,suggested_ar,locations,area,has_pre_filled,disposition
 Is Child Table,جدول فرعي,erpnext/stock/doctype/inventory_dimension/inventory_dimension.json:None,stock,1,APPROVE
% Installed,نسبة المركب,erpnext/stock/doctype/delivery_note/delivery_note.json:None,stock,1,APPROVE
% Occupied,نسبة الإشغال,erpnext/stock/page/warehouse_capacity_summary/warehouse_capacity_summary.js:70; erpnext/stock/page/warehouse_capacity_summary/warehouse_capacity_summary_header.html:16,stock,1,APPROVE
% of materials delivered against this Pick List,,erpnext/stock/doctype/pick_list/pick_list.json:None,stock,0,APPROVE
"'Inspection Required before Delivery' has disabled for the item {0}, no need to create the QI",,erpnext/stock/doctype/quality_inspection/quality_inspection.py:139,stock,0,APPROVE
"'Inspection Required before Purchase' has disabled for the item {0}, no need to create the QI",,erpnext/stock/doctype/quality_inspection/quality_inspection.py:130,stock,0,APPROVE
'To Package No.' cannot be less than 'From Package No.',,erpnext/stock/doctype/packing_slip/packing_slip.py:95,stock,0,APPROVE
(A) Qty After Transaction,,erpnext/stock/report/fifo_queue_vs_qty_after_transaction_comparison/fifo_queue_vs_qty_after_transaction_comparison.py:174; erpnext/stock/report/stock_ledger_invariant_check/stock_ledger_invariant_check.py:203; erpnext/stock/report/stock_ledger_variance/stock_ledger_variance.py:106,stock,0,APPROVE
(B) Expected Qty After Transaction,,erpnext/stock/report/stock_ledger_invariant_check/stock_ledger_invariant_check.py:208; erpnext/stock/report/stock_ledger_variance/stock_ledger_variance.py:111,stock,0,APPROVE
(C) Total Qty in Queue,,erpnext/stock/report/stock_ledger_invariant_check/stock_ledger_invariant_check.py:223; erpnext/stock/report/stock_ledger_variance/stock_ledger_variance.py:126,stock,0,APPROVE
(C) Total qty in queue,,erpnext/stock/report/fifo_queue_vs_qty_after_transaction_comparison/fifo_queue_vs_qty_after_transaction_comparison.py:184,stock,0,APPROVE
(D) Balance Stock Value,,erpnext/stock/report/fifo_queue_vs_qty_after_transaction_comparison/fifo_queue_vs_qty_after_transaction_comparison.py:194; erpnext/stock/report/stock_ledger_invariant_check/stock_ledger_invariant_check.py:233; erpnext/stock/report/stock_ledger_variance/stock_ledger_variance.py:136,stock,0,APPROVE
(Daily Yield * No of Units Produced) / 100,,erpnext/stock/doctype/item_lead_time/item_lead_time.json:None,stock,0,APPROVE
(E) Balance Stock Value in Queue,,erpnext/stock/report/fifo_queue_vs_qty_after_transaction_comparison/fifo_queue_vs_qty_after_transaction_comparison.py:199; erpnext/stock/report/stock_ledger_invariant_check/stock_ledger_invariant_check.py:238; erpnext/stock/report/stock_ledger_variance/stock_ledger_variance.py:141,stock,0,APPROVE
(F) Change in Stock Value,,erpnext/stock/report/stock_ledger_invariant_check/stock_ledger_invariant_check.py:248; erpnext/stock/report/stock_ledger_variance/stock_ledger_variance.py:151,stock,0,APPROVE
(G) Sum of Change in Stock Value,,erpnext/stock/report/stock_ledger_invariant_check/stock_ledger_invariant_check.py:253; erpnext/stock/report/stock_ledger_variance/stock_ledger_variance.py:156,stock,0,APPROVE
(Good Units Produced / Total Units Produced) × 100,,erpnext/stock/doctype/item_lead_time/item_lead_time.json:None,stock,0,APPROVE
(H) Change in Stock Value (FIFO Queue),,erpnext/stock/report/stock_ledger_invariant_check/stock_ledger_invariant_check.py:263; erpnext/stock/report/stock_ledger_variance/stock_ledger_variance.py:166,stock,0,APPROVE
(H) Valuation Rate,,erpnext/stock/report/fifo_queue_vs_qty_after_transaction_comparison/fifo_queue_vs_qty_after_transaction_comparison.py:209,stock,0,APPROVE
(I) Valuation Rate,,erpnext/stock/report/stock_ledger_invariant_check/stock_ledger_invariant_check.py:273; erpnext/stock/report/stock_ledger_variance/stock_ledger_variance.py:176,stock,0,APPROVE
(J) Valuation Rate as per FIFO,,erpnext/stock/report/stock_ledger_invariant_check/stock_ledger_invariant_check.py:278; erpnext/stock/report/stock_ledger_variance/stock_ledger_variance.py:181,stock,0,APPROVE
(K) Valuation = Value (D) ÷ Qty (A),,erpnext/stock/report/stock_ledger_invariant_check/stock_ledger_invariant_check.py:288; erpnext/stock/report/stock_ledger_variance/stock_ledger_variance.py:191,stock,0,APPROVE
(Total Workstation Time / Manufacturing Time) * 60,,erpnext/stock/doctype/item_lead_time/item_lead_time.json:None,stock,0,APPROVE
A - B,,erpnext/stock/report/stock_ledger_invariant_check/stock_ledger_invariant_check.py:213; erpnext/stock/report/stock_ledger_variance/stock_ledger_variance.py:116,stock,0,APPROVE
A - C,,erpnext/stock/report/fifo_queue_vs_qty_after_transaction_comparison/fifo_queue_vs_qty_after_transaction_comparison.py:189; erpnext/stock/report/stock_ledger_invariant_check/stock_ledger_invariant_check.py:228; erpnext/stock/report/stock_ledger_variance/stock_ledger_variance.py:131,stock,0,APPROVE
