source_text,translated_text,quorum_decision,disposition_rationale,decision_ref,proposal_sha256
3 Yearly,كل 3 سنوات,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Account not Found,الحساب غير موجود,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Adjust Asset Value,تعديل قيمة الأصل,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Asset Activity,نشاط الأصل,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Asset Capitalization,رسملة الأصل,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Asset Capitalization Asset Item,عنصر أصل رسملة الأصل,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Asset Capitalization Service Item,عنصر خدمة رسملة الأصل,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Asset Capitalization Stock Item,عنصر مخزون رسملة الأصل,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Asset Depreciation Schedule,جدول إهلاك الأصل,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Asset Depreciation Schedule for Asset {0} and Finance Book {1} is not using shift based depreciation,جدول إهلاك الأصل للأصل {0} ودفتر التمويل {1} لا يستخدم الإهلاك القائم على الورديات,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Asset Depreciation Schedule not found for Asset {0} and Finance Book {1},لم يتم العثور على جدول إهلاك الأصل للأصل {0} ودفتر التمويل {1},quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Asset Depreciation Schedule {0} for Asset {1} already exists.,جدول إهلاك الأصل {0} للأصل {1} موجود بالفعل.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
